#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb12 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.55 42.77 10.08 14.19 7.71
1 2.37 44.22 12.15 17.04 10.81
2 2.42 41.56 11.39 16.04 10.45
3 2.75 38.99 11.56 15.69 10.97
4 2.89 36.30 14.57 12.05 10.92
5 3.03 43.74 13.08 15.39 10.73
6 3.27 46.82 13.21 16.59 11.50
7 3.46 48.66 11.43 17.77 10.49
8 3.55 45.36 13.45 18.03 11.32
9 3.81 37.57 13.20 14.69 11.86
10 3.94 40.83 14.09 17.72 11.76
11 4.05 43.40 13.94 16.64 12.35
12 4.13 48.19 13.04 18.06 11.65
13 4.40 50.34 13.51 17.87 11.38
14 4.41 34.62 12.86 15.83 12.34
15 4.89 39.11 14.92 17.40 13.33
16 4.62 46.02 13.98 20.07 13.53
17 4.74 36.17 14.43 17.81 12.85
18 5.10 41.41 15.25 19.22 13.47
19 4.93 51.87 11.02 17.06 11.52
20 5.21 44.54 16.75 20.82 13.87
21 4.81 37.33 17.40 12.60 14.80
22 4.93 48.00 14.20 19.52 12.40
23 5.52 49.57 14.75 19.36 12.96
24 5.52 32.87 14.62 16.02 12.18
25 5.56 35.39 14.90 16.51 13.83
26 5.57 37.03 15.61 17.44 14.80
27 5.78 47.24 16.12 21.25 13.67
28 5.87 40.53 14.63 19.00 15.00
29 6.30 42.90 16.84 21.71 14.65
30 6.21 37.64 14.02 19.24 13.96
31 6.21 53.67 13.05 20.41 13.06
32 6.35 39.70 16.03 18.68 14.75
33 6.41 45.20 16.55 20.47 14.14
34 6.36 48.44 15.42 23.08 14.44
35 6.82 29.62 12.95 14.34 12.07
36 6.85 32.49 15.00 16.01 12.99
37 6.65 46.24 15.06 21.28 15.00
38 6.78 47.22 18.13 19.07 15.27
39 7.11 38.39 15.94 21.32 15.94
40 7.18 40.47 16.17 21.55 15.26
41 7.63 35.26 15.63 18.19 14.11
42 7.34 48.00 17.27 21.43 16.54
43 7.43 41.91 16.73 23.00 13.57
44 7.59 55.77 13.19 21.09 16.17
45 7.60 51.49 15.12 21.64 16.69
46 7.49 32.30 17.38 16.38 12.31
47 7.79 44.45 16.87 23.23 16.15
48 7.83 28.67 13.70 16.30 13.72
49 7.77 30.17 12.25 17.33 14.92
50 7.76 33.14 16.53 14.87 16.47
51 8.04 31.37 14.45 19.06 12.62
52 7.90 59.60 12.76 19.00 16.00
53 8.11 54.75 15.00 20.36 18.21
54 8.38 39.79 17.35 23.35 16.72
55 8.26 48.96 15.07 21.78 18.33
56 8.55 58.80 13.48 20.06 18.90
57 8.54 42.46 17.11 23.70 16.04
58 8.48 36.79 16.42 18.98 15.66
59 8.51 27.52 13.42 15.78 12.67
60 8.83 46.72 16.63 24.54 19.74
61 8.56 30.55 13.88 19.00 13.41
62 8.95 51.35 18.84 22.23 20.32
63 8.85 56.34 15.15 19.76 20.30
64 8.89 53.26 15.95 20.86 21.78
65 8.89 32.08 16.86 16.61 14.29
66 9.19 43.92 16.96 22.91 19.80
67 8.92 49.79 16.73 24.35 19.30
68 9.20 60.83 14.05 18.06 24.79
69 9.16 29.17 14.68 15.17 14.62
70 9.35 37.55 17.46 20.04 16.21
71 9.29 30.86 15.32 18.16 14.35
72 9.68 35.77 16.84 18.27 17.64
73 9.42 45.19 15.24 23.62 16.73
74 9.67 40.91 17.39 23.87 18.00
75 9.87 62.98 13.30 18.29 29.94
76 9.93 33.71 16.25 18.56 15.12
77 9.90 57.91 14.60 19.89 28.88
78 9.86 54.90 17.73 19.39 26.21
79 9.66 38.55 17.56 19.50 14.06
80 10.07 52.79 16.14 23.12 25.97
81 9.74 42.92 14.00 24.88 15.92
82 10.11 47.22 17.04 25.00 21.75
83 10.04 49.57 15.89 23.06 23.68
84 9.98 29.30 16.54 16.24 16.03
85 10.31 50.97 17.14 21.38 23.48
86 10.36 32.51 16.47 15.97 18.82
87 10.59 39.02 17.04 19.92 19.51
88 10.64 45.02 17.23 23.98 22.64
89 10.63 61.46 14.91 17.47 37.92
90 10.63 42.33 17.92 23.66 21.05
91 10.65 31.18 16.59 15.95 16.80
92 10.52 36.38 16.77 19.77 17.46
93 10.93 56.79 16.29 19.74 34.32
94 10.82 25.77 14.87 15.37 14.17
95 10.85 28.47 17.11 16.07 16.07
96 10.95 54.97 17.46 20.97 34.44
97 11.27 59.53 16.06 19.35 42.13
98 10.99 34.83 16.46 18.46 19.22
99 11.17 63.91 15.61 18.03 37.39
100 11.19 48.78 18.39 22.78 27.56
101 11.25 37.21 15.18 19.78 21.54
102 11.25 53.78 17.00 23.09 35.19
103 11.22 29.66 17.74 16.13 15.74
104 11.42 51.82 17.01 23.38 33.16
105 11.56 27.74 17.28 16.87 16.65
106 11.85 43.63 16.97 21.02 27.75
107 11.43 46.88 16.78 21.48 29.39
108 11.65 30.88 17.50 16.00 18.63
109 11.87 41.27 17.70 22.23 25.15
110 11.68 25.98 14.41 14.32 16.27
111 11.55 38.97 16.56 17.94 23.56
112 12.00 46.04 15.79 22.44 28.79
113 11.81 55.83 18.24 20.18 42.41
114 12.25 61.88 16.13 19.13 46.04
115 12.03 24.41 14.24 13.36 16.24
116 12.16 39.27 18.25 20.88 24.28
117 12.35 58.18 18.94 20.09 44.20
118 12.32 50.31 18.05 23.20 40.03
119 12.34 65.52 15.02 17.60 45.44
120 12.21 31.99 17.40 17.48 20.40
121 12.50 47.98 18.29 21.50 38.58
122 12.50 53.75 17.55 21.69 48.81
123 12.35 33.89 17.22 18.57 22.04
124 12.57 37.42 18.21 18.60 25.87
125 12.51 28.39 14.63 16.00 21.43
126 12.63 24.09 13.09 11.64 16.27
127 13.10 35.30 16.03 19.02 27.59
128 13.05 44.74 17.87 22.06 42.30
129 13.29 30.87 15.57 16.22 24.37
130 13.40 60.12 17.05 20.22 57.89
131 13.37 42.41 18.08 22.20 40.01
132 12.98 52.09 16.25 19.54 48.54
133 13.25 40.18 15.71 20.01 34.92
134 13.39 64.55 15.87 19.38 56.06
135 13.06 29.18 17.00 15.70 20.89
136 13.42 67.37 16.45 17.08 54.13
137 13.65 49.03 17.37 21.13 52.68
138 13.57 51.39 16.82 22.40 54.26
139 13.82 57.96 18.28 21.13 62.60
140 13.77 46.70 17.40 20.76 56.92
141 13.79 55.60 19.44 21.53 59.78
142 13.55 26.07 15.00 13.32 19.68
143 13.81 27.82 16.21 17.48 24.02
144 13.83 62.21 17.94 20.99 58.47
145 13.70 69.83 14.02 15.82 56.02
146 13.91 37.80 17.69 19.73 36.55
147 14.07 33.55 17.29 18.09 32.91
148 13.82 31.90 17.89 17.39 25.11
149 13.99 53.79 19.02 23.28 70.76
150 14.51 35.91 17.72 18.39 37.28
151 14.47 44.78 18.27 20.56 61.68
152 14.32 25.99 15.75 13.92 23.42
153 14.62 39.93 17.18 20.98 52.75
154 14.46 66.24 17.37 16.96 64.65
155 14.54 52.79 17.83 22.22 66.02
156 14.80 42.19 18.32 21.49 61.04
157 14.74 30.35 15.92 16.29 32.43
158 14.75 50.49 19.41 22.21 77.91
159 14.59 64.46 20.02 20.80 69.38
160 14.85 23.71 15.81 11.51 23.51
161 14.92 68.91 15.81 17.67 61.96
162 15.01 47.93 18.40 20.41 83.34
163 15.05 60.31 17.92 20.40 71.41
164 15.16 28.10 17.95 14.24 32.78
165 14.96 63.21 17.16 18.60 67.26
