#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk14 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 12.18 26.36 14.82 24.00 13.90
140 12.37 28.03 17.38 25.56 14.92
141 12.32 67.90 16.06 20.00 31.67
142 12.43 36.81 20.15 32.18 19.24
143 12.57 43.37 21.16 37.38 22.27
144 12.64 59.91 19.73 29.04 30.28
145 12.41 38.20 19.80 32.80 20.00
146 12.54 44.90 19.47 36.82 22.85
147 12.85 65.29 17.98 27.67 34.93
148 12.79 25.45 16.92 23.44 15.78
149 12.88 33.90 20.54 30.84 21.31
150 12.92 47.19 22.16 38.73 25.72
151 12.71 57.90 18.34 33.20 24.34
152 12.79 68.83 14.98 23.34 29.34
153 13.24 49.80 21.80 36.84 28.09
154 13.11 35.71 19.45 31.28 21.64
155 12.95 67.52 17.08 25.38 30.54
156 12.97 41.86 20.00 36.69 22.76
157 13.34 62.46 20.88 28.71 37.73
158 13.21 21.51 13.68 20.15 13.28
159 13.29 52.69 21.45 34.29 30.39
160 12.97 27.55 18.20 27.20 16.70
161 13.35 28.55 18.25 25.77 21.16
162 13.16 37.75 22.62 30.54 22.82
163 13.00 40.36 20.00 36.45 22.18
164 13.16 55.88 18.82 33.54 27.04
165 13.04 45.09 22.00 38.83 25.33
166 13.38 72.32 13.41 19.52 24.84
167 13.32 22.95 16.15 18.24 21.42
168 13.72 57.36 21.59 32.48 35.77
169 13.44 26.93 16.06 25.15 18.00
170 13.58 41.02 20.00 34.66 24.23
171 13.77 43.29 22.22 35.27 26.41
172 13.65 45.21 23.88 35.97 29.02
173 13.96 70.48 17.42 22.30 35.94
174 14.02 24.89 18.55 22.99 21.87
175 13.99 60.06 21.45 30.19 40.13
176 14.01 67.78 18.20 26.24 42.72
177 14.22 48.01 23.34 35.15 36.10
178 14.25 54.60 23.77 34.21 41.74
179 14.02 22.59 16.20 19.47 20.27
180 14.48 34.70 21.83 30.06 28.86
181 14.22 65.34 19.56 27.64 46.78
182 14.50 39.47 22.34 31.87 30.81
183 14.25 32.19 20.61 31.34 23.31
184 14.67 28.06 17.32 24.58 26.64
185 14.54 52.34 21.79 36.71 43.66
186 14.43 41.97 23.22 35.24 34.14
187 14.56 50.28 22.96 37.64 41.18
188 14.55 63.01 22.37 29.87 56.45
189 14.93 46.02 23.60 35.45 46.89
190 14.83 21.29 16.90 19.56 27.94
191 14.54 37.04 21.60 29.43 32.99
192 14.99 30.70 18.34 27.66 28.93
193 14.98 43.86 24.05 34.47 38.18
194 15.02 56.24 23.85 33.47 52.36
195 15.12 58.54 22.55 33.11 54.76
196 15.34 23.59 18.62 20.79 33.15
197 14.96 41.42 21.66 33.41 36.41
198 15.30 68.32 20.48 24.57 47.36
199 15.30 60.96 22.34 30.56 57.59
200 15.41 70.90 18.74 25.62 44.26
201 15.35 72.13 18.96 23.22 44.13
202 15.47 48.12 23.10 34.55 56.65
203 15.69 26.45 18.99 23.40 33.82
204 15.67 32.80 20.78 26.91 39.12
205 15.55 65.19 21.68 26.94 53.35
206 15.82 18.97 14.23 16.88 37.40
207 15.83 38.87 23.12 32.06 43.69
208 15.79 52.81 23.90 32.43 68.20
209 15.85 50.44 24.58 36.79 63.64
210 15.80 35.82 23.07 30.65 43.42
211 15.92 73.93 18.08 21.13 40.88
212 15.86 41.44 23.97 31.95 50.60
213 16.15 55.07 25.02 33.36 78.68
214 16.16 62.82 22.42 28.00 64.84
215 16.19 29.53 19.58 24.77 39.77
216 16.24 43.86 24.84 34.66 62.21
217 16.39 46.18 23.17 37.37 71.38
218 16.33 57.50 23.39 33.19 75.78
219 16.51 21.59 17.21 19.89 48.45
220 16.53 69.16 22.39 25.89 56.24
221 16.65 59.92 25.33 32.80 74.65
222 16.64 66.59 22.07 28.82 62.03
223 16.89 34.59 23.40 29.86 56.83
224 16.88 48.48 24.94 36.39 91.31
225 16.84 71.87 20.38 23.40 53.24
226 16.79 24.67 18.64 22.06 55.21
227 17.03 37.19 23.76 30.40 68.14
228 17.07 27.47 19.53 24.94 54.35
229 17.18 42.32 25.16 33.81 82.84
230 17.11 32.17 21.20 28.11 57.40
231 17.21 39.92 24.55 31.46 76.33
232 17.08 53.30 24.71 34.57 99.90
233 17.17 50.97 23.71 36.79 100.72
234 17.44 64.48 22.71 30.34 77.98
235 17.37 19.37 16.78 19.45 65.61
236 17.52 74.52 21.48 21.02 55.86
237 17.56 55.55 24.63 34.05 102.55
238 17.64 29.80 21.20 24.55 70.26
239 17.51 61.94 24.40 31.10 79.83
240 17.72 57.78 26.17 34.66 101.86
241 17.66 45.93 25.59 35.41 104.63
242 17.85 16.82 15.09 16.85 63.59
243 17.82 23.29 19.37 21.50 81.99
244 17.76 69.79 24.56 27.04 69.84
245 18.01 67.15 23.79 30.03 77.50
246 18.21 43.85 25.40 35.17 118.11
247 18.07 49.30 25.54 37.91 125.24
248 18.23 59.78 25.38 32.51 94.66
249 18.32 33.98 23.69 30.17 91.13
250 18.36 36.39 24.49 30.96 100.72
251 18.36 38.69 24.56 36.08 102.09
252 18.32 72.14 23.60 25.03 70.57
253 18.37 26.01 19.81 23.55 84.15
254 18.56 21.30 18.26 19.28 88.56
255 18.42 53.65 25.81 34.24 126.19
256 18.45 51.39 27.50 35.54 137.00
257 18.46 76.86 20.65 21.27 54.01
258 18.46 41.24 25.27 34.22 115.91
259 18.65 31.70 23.33 27.98 92.84
260 18.69 47.43 25.03 38.16 133.99
261 18.73 28.54 20.95 25.57 98.30
262 18.71 62.44 26.14 32.57 94.53
263 19.02 18.83 17.54 18.18 87.42
264 18.88 64.92 25.81 27.75 90.15
265 19.01 55.70 26.88 35.05 125.97
266 19.05 74.22 24.12 24.65 74.67
267 19.05 69.61 26.54 28.45 82.83
268 19.17 57.84 25.71 33.23 113.98
269 19.26 45.47 27.82 37.20 149.59
270 19.48 24.30 19.78 21.93 110.17
271 19.39 42.95 27.12 35.88 147.67
272 19.50 49.44 27.43 33.57 150.09
273 19.62 67.33 26.89 29.63 91.73
274 19.53 35.24 25.57 29.97 122.82
275 19.58 60.31 28.60 34.15 112.86
276 19.64 79.12 21.38 20.53 55.87
277 19.56 39.98 25.99 31.64 148.18
278 19.49 52.10 28.11 35.68 146.15
279 19.84 37.58 25.56 33.32 139.59
280 19.78 30.13 21.37 26.89 120.94
281 19.89 32.87 21.82 28.11 126.64
282 19.90 27.26 21.48 24.78 115.20
283 19.86 71.75 28.38 26.46 90.27
284 19.88 76.54 27.51 22.15 78.34
285 19.85 17.53 17.28 18.24 104.16
286 20.10 54.04 28.28 37.64 140.83
287 20.05 62.44 25.85 33.71 106.22
288 20.11 22.01 19.64 20.73 117.16
289 20.23 47.13 26.27 34.17 157.09
290 20.09 64.88 26.73 30.89 104.99
291 20.47 56.23 28.75 35.75 137.86
292 20.41 58.42 28.49 36.54 129.78
293 20.47 41.78 28.44 35.98 160.05
294 20.44 74.10 32.58 26.27 97.33
295 20.42 44.50 27.96 36.33 171.27
296 20.34 16.69 16.41 18.29 103.95
297 20.53 69.14 31.45 29.41 94.07
298 20.77 19.73 18.92 20.99 119.30
299 20.52 51.21 29.04 35.18 145.93
300 20.77 35.21 25.84 32.36 146.82
301 20.83 39.55 28.52 34.71 164.21
302 20.86 48.89 29.24 38.97 149.47
303 20.99 25.70 22.44 25.18 133.56
304 21.00 30.87 24.96 29.03 142.58
305 21.08 60.37 30.27 33.28 125.68
306 20.93 78.56 36.99 22.01 79.54
307 21.17 28.48 22.27 25.69 133.60
308 21.15 65.93 33.84 32.05 112.63
309 21.38 33.06 25.79 30.59 153.66
310 21.23 53.12 28.76 37.11 151.08
311 21.23 63.19 31.33 31.72 117.57
312 21.31 37.45 24.68 32.04 156.60
313 21.36 72.09 38.67 27.06 109.24
314 21.30 75.85 39.14 24.18 104.09
315 21.46 17.71 20.15 19.58 128.38
316 21.53 23.02 20.43 22.48 129.86
317 21.50 43.56 30.37 34.52 170.28
318 21.46 46.38 26.50 36.75 166.59
319 21.65 55.29 29.10 37.43 145.75
320 21.71 69.96 40.15 27.38 117.76
321 21.70 50.54 30.28 38.08 159.51
322 21.65 57.83 30.76 35.40 137.35
323 21.78 41.10 28.54 33.75 173.65
324 21.84 67.67 37.72 31.61 126.49
325 21.93 80.09 52.61 21.30 97.24
326 22.01 15.44 18.13 17.89 112.30
327 22.08 20.68 19.17 20.36 127.48
328 21.93 74.22 44.95 27.11 120.43
329 22.24 34.57 28.21 33.10 154.94
330 22.20 48.44 30.34 37.97 163.31
331 22.26 77.44 57.35 24.99 116.91
332 22.38 38.97 30.24 33.97 170.58
333 22.34 30.97 26.38 28.51 152.68
334 22.25 60.74 34.37 36.17 139.25
335 22.41 25.56 21.74 23.83 130.14
336 22.28 52.45 31.62 40.05 161.02
337 22.53 36.66 27.69 32.84 162.89
338 22.47 28.30 22.67 27.34 146.30
339 22.32 63.10 33.49 34.33 138.38
340 22.42 45.01 29.13 33.86 165.83
341 22.60 65.21 36.88 33.27 136.12
342 22.46 73.13 52.03 30.38 126.64
343 22.69 42.67 31.54 34.34 173.97
344 22.79 56.71 34.40 36.40 154.52
345 22.82 54.70 34.24 36.16 158.60
346 22.85 58.80 36.18 34.95 161.78
347 22.90 17.83 19.73 19.04 120.90
348 22.90 70.39 58.52 31.32 132.17
349 23.03 22.96 22.16 22.07 136.59
