#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 14.54 60.57 18.06 14.62 63.42
140 14.64 21.78 12.24 9.33 56.72
141 14.68 53.69 19.50 15.24 83.12
142 14.69 48.85 18.36 16.21 91.48
143 14.87 35.03 15.48 11.66 73.85
144 14.57 70.37 17.82 12.21 48.79
145 15.17 51.45 18.24 14.11 94.83
146 14.98 69.46 20.63 14.00 56.86
147 15.11 39.26 17.81 12.73 97.53
148 15.37 46.00 17.22 15.71 108.45
149 15.39 41.98 17.33 13.13 99.83
150 15.41 72.15 18.84 12.52 54.10
151 15.59 67.57 19.49 13.71 57.02
152 15.60 64.26 19.28 13.47 59.74
153 15.66 27.05 13.32 11.20 71.08
154 15.67 31.65 14.77 12.16 77.73
155 15.66 58.01 18.78 14.43 71.75
156 15.51 75.36 15.11 11.06 46.12
157 15.84 60.74 19.78 14.60 65.11
158 15.90 54.79 19.84 14.83 88.09
159 16.00 48.03 19.19 15.24 110.72
160 16.12 23.21 13.28 9.69 70.11
161 16.14 37.32 16.83 12.91 101.28
162 16.24 34.58 16.54 12.11 92.92
163 16.30 50.15 18.51 15.34 109.56
164 16.37 43.79 17.97 14.15 118.09
165 16.32 70.33 20.35 13.61 60.99
166 16.64 29.33 14.08 10.99 94.06
167 16.55 40.69 18.15 13.90 115.23
168 16.78 52.27 20.11 15.96 111.55
169 16.70 65.72 20.91 15.53 66.70
170 16.73 62.19 20.94 15.38 72.49
171 16.97 46.17 20.80 14.96 124.55
172 16.89 56.70 20.21 15.72 86.18
173 16.99 72.75 21.13 12.27 60.87
174 17.15 32.65 15.73 12.49 107.98
175 17.10 26.07 14.54 11.03 88.99
176 17.24 58.83 20.54 15.70 84.35
177 17.16 20.29 13.09 8.73 82.42
178 17.28 68.74 21.56 14.27 70.19
179 17.32 54.42 20.31 14.78 108.43
180 17.46 48.54 20.06 15.12 132.46
181 17.50 37.74 17.36 14.18 121.30
182 17.59 75.56 20.73 11.86 61.85
183 17.45 22.40 13.12 9.92 94.47
184 17.74 42.91 19.35 14.19 122.41
185 17.91 35.24 17.99 12.45 119.52
186 17.72 63.09 23.52 15.18 72.14
187 17.82 40.12 19.69 13.71 128.12
188 17.87 60.77 21.14 16.34 83.31
189 17.76 23.87 15.23 11.94 96.65
190 17.99 30.74 16.82 11.98 120.11
191 17.95 66.34 23.94 14.52 81.77
192 18.11 50.43 21.60 15.56 124.56
193 17.81 64.36 22.47 13.93 77.90
194 18.26 28.24 16.14 11.19 115.03
195 18.26 78.18 18.78 10.47 55.46
196 18.08 17.11 11.42 8.49 86.55
197 18.23 45.46 20.48 15.25 132.07
198 18.41 52.62 23.05 15.23 120.16
199 18.42 70.42 24.50 13.18 75.71
200 18.42 73.10 23.81 13.53 67.45
