#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd29 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.13 49.53 7.67 5.03 33.57
1 2.31 45.64 8.12 4.33 30.49
2 3.06 43.70 8.50 5.04 35.02
3 3.20 50.58 8.43 5.21 34.94
4 3.11 53.30 8.78 5.15 36.10
5 3.50 51.91 9.55 5.62 39.40
6 3.60 41.72 9.53 4.27 33.09
7 3.81 48.46 10.24 5.52 37.79
8 3.59 45.87 9.33 6.83 38.67
9 4.09 42.89 10.63 5.95 38.33
10 4.12 45.90 10.11 5.91 41.04
11 4.18 52.49 9.82 5.47 39.51
12 4.33 44.47 9.97 5.71 41.44
13 4.37 39.84 9.45 4.87 36.28
14 4.49 41.55 9.27 6.11 34.11
15 4.77 47.26 10.65 6.17 40.00
16 4.88 51.33 9.62 5.85 40.37
17 5.05 56.12 10.56 5.61 40.12
18 5.07 44.11 11.00 5.77 40.73
19 5.27 49.51 10.94 6.72 42.21
20 5.42 42.46 10.57 6.20 40.04
21 5.31 45.96 11.94 6.25 41.42
22 5.61 58.07 8.57 4.79 35.15
23 5.43 53.15 11.27 6.59 42.76
24 5.62 50.92 11.56 5.75 40.66
25 5.72 39.58 9.11 6.21 40.90
26 5.84 41.55 9.78 7.00 40.22
27 6.13 46.83 12.82 7.65 41.73
28 6.23 54.78 12.13 7.37 44.21
29 6.28 52.79 12.06 7.89 47.15
30 6.32 49.50 11.39 6.18 43.39
31 6.56 51.22 11.68 6.74 43.46
32 6.49 39.73 10.95 7.04 37.60
33 6.62 57.50 9.85 6.09 39.80
34 6.51 59.85 9.37 5.19 36.83
35 6.83 58.84 10.94 5.88 38.00
36 6.98 36.92 10.92 5.57 40.67
37 7.29 40.85 11.80 6.93 41.08
38 7.26 57.35 12.50 6.17 41.92
39 7.52 38.63 12.47 7.37 38.57
40 7.35 47.24 10.88 6.79 43.88
41 7.54 52.36 11.85 7.49 47.11
42 7.68 54.78 12.02 7.58 45.52
43 7.50 45.80 13.81 8.13 45.65
44 7.61 50.25 12.11 6.98 43.30
45 7.64 33.77 10.26 5.16 34.60
46 7.66 36.92 11.07 6.22 43.10
47 7.70 58.46 10.14 6.57 42.24
48 7.86 44.47 12.70 7.70 46.23
49 8.14 35.20 10.45 5.80 37.46
50 8.09 42.96 12.77 7.07 44.97
51 7.89 47.88 15.17 7.00 46.21
52 8.35 41.66 14.47 7.29 44.76
53 8.13 46.06 14.19 8.70 44.48
54 8.39 50.15 12.56 7.78 44.66
55 8.63 36.37 11.73 7.00 38.90
56 8.50 58.82 10.84 7.26 43.49
57 8.50 61.26 9.98 6.61 38.55
58 8.62 38.62 12.01 7.01 43.29
59 8.51 56.62 12.79 8.81 46.56
60 8.64 47.62 14.10 7.43 46.62
61 8.74 53.59 14.51 7.81 47.09
62 8.66 54.82 12.78 8.39 47.83
63 8.56 62.60 10.00 6.40 43.20
64 8.82 43.45 15.08 7.63 43.00
65 8.59 45.06 13.33 7.33 42.00
66 8.81 49.14 12.71 7.79 46.04
67 9.14 45.72 14.11 7.52 46.09
68 8.99 63.26 8.84 5.84 35.84
69 9.21 51.01 13.29 8.91 44.64
70 9.38 41.79 14.17 7.99 47.76
71 9.20 59.03 11.08 7.76 45.82
72 9.29 54.95 14.98 8.90 43.84
73 9.40 38.13 12.80 7.68 42.55
74 9.38 33.49 10.62 5.89 41.26
75 9.39 44.07 13.14 7.66 44.93
76 9.42 31.64 11.55 6.36 36.61
77 9.49 35.12 11.64 6.61 42.61
78 9.48 49.26 13.51 7.87 46.23
79 9.70 60.65 10.37 7.59 42.86
80 9.62 62.49 9.77 6.68 40.06
81 9.81 39.61 12.47 7.33 44.90
82 9.60 40.68 14.00 8.75 43.00
83 9.68 37.18 13.46 6.54 43.54
84 9.97 56.36 12.34 7.93 47.93
85 9.92 53.05 13.83 8.78 50.38
86 9.96 65.01 8.63 5.22 36.02
87 9.97 30.43 10.26 5.64 34.42
88 9.90 54.55 15.13 8.07 46.93
89 10.08 48.19 12.74 7.70 48.48
90 10.18 46.39 13.29 8.49 49.98
91 10.00 36.74 11.30 7.10 45.60
92 10.23 63.37 10.34 6.89 40.11
93 10.61 36.55 12.79 7.95 48.16
94 10.65 44.22 14.78 8.50 47.14
95 10.55 57.43 12.41 9.65 47.11
96 10.65 32.61 12.82 6.79 43.65
97 10.61 55.06 14.15 9.26 46.87
98 10.60 60.32 10.82 7.89 45.45
99 11.07 62.19 10.57 7.64 53.85
100 10.67 50.16 14.13 7.91 50.91
101 10.68 65.23 9.48 7.55 41.15
102 10.83 29.41 8.96 5.24 34.41
103 11.01 58.90 11.91 9.17 45.87
104 10.99 48.66 14.00 8.37 50.95
105 11.08 41.63 13.94 7.66 48.28
106 10.97 46.08 15.05 8.18 45.18
107 11.42 38.48 13.57 8.45 45.09
108 11.26 53.95 14.13 8.45 47.43
109 11.53 35.12 14.61 8.11 45.94
110 11.37 52.50 13.03 9.34 50.26
111 11.38 56.61 12.80 9.35 48.27
112 11.67 47.02 13.85 8.37 48.60
113 11.64 28.59 9.65 5.11 32.05
114 11.69 64.14 10.25 8.43 41.50
115 11.64 32.04 12.16 6.75 40.67
116 12.20 41.62 13.93 8.51 46.51
117 11.86 54.80 13.29 8.40 46.89
118 11.96 29.81 10.03 6.70 37.30
119 11.94 40.17 13.08 8.78 44.58
120 12.11 43.83 14.20 8.70 47.41
121 12.16 49.09 13.27 10.20 48.32
122 12.31 59.63 11.61 8.41 47.66
123 12.36 35.91 12.63 8.12 45.02
124 12.02 52.69 12.57 7.53 49.37
125 12.00 62.31 10.64 7.73 48.27
126 12.18 66.60 9.12 8.36 38.00
127 12.15 45.24 13.67 7.17 46.33
128 12.33 32.94 12.90 7.81 42.97
129 12.39 51.52 13.32 8.32 51.10
130 12.49 57.76 12.87 8.60 47.26
131 12.47 62.80 10.50 9.00 48.82
132 12.63 30.69 11.47 7.16 42.37
133 12.66 45.57 13.69 8.81 47.13
134 12.33 54.50 14.00 12.00 56.75
135 12.49 38.08 14.05 7.84 44.95
136 12.83 53.53 12.67 8.39 50.63
137 12.45 64.92 11.30 9.00 46.60
138 12.57 55.26 13.15 8.88 51.42
139 13.25 40.27 14.36 9.03 45.22
140 13.09 67.10 9.50 8.74 39.07
141 13.09 50.81 12.76 8.63 50.67
142 12.95 37.20 13.24 7.94 45.00
143 12.96 65.35 9.62 8.52 47.00
144 13.07 48.52 13.16 9.08 50.84
145 13.05 27.95 9.74 6.07 36.57
146 13.12 56.43 12.05 8.49 48.19
147 13.13 43.00 14.01 8.29 47.35
148 13.44 34.58 11.24 8.25 44.01
149 13.46 61.45 10.27 9.50 47.41
150 13.54 45.54 13.31 8.67 50.06
151 13.57 49.28 11.24 8.91 54.83
152 13.60 47.01 12.43 10.16 48.86
153 13.63 28.65 10.17 6.52 43.90
154 13.71 51.83 12.71 9.98 46.81
155 13.74 37.25 12.63 9.64 46.21
156 13.83 62.74 10.45 9.40 46.23
157 14.01 38.89 13.28 9.28 44.20
158 14.08 43.98 13.17 8.77 52.09
159 14.07 30.15 11.82 7.68 45.85
160 14.05 70.54 7.05 6.50 34.98
161 14.06 55.02 11.45 9.47 50.31
162 14.23 26.82 8.57 6.14 34.96
163 14.23 28.21 10.82 6.73 41.32
164 14.41 56.82 12.24 11.16 51.18
165 14.29 52.49 11.88 10.38 49.31
