#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim20 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.28 46.78 23.26 8.37 11.11
1 2.92 45.61 27.72 11.40 11.55
2 3.18 40.99 26.61 11.12 12.12
3 2.88 42.80 26.28 11.53 10.55
4 2.99 48.35 24.70 10.92 10.88
5 3.62 50.11 26.24 12.18 11.73
6 3.76 43.56 28.27 11.45 13.15
7 3.70 52.71 23.89 11.00 12.19
8 3.75 38.51 26.63 11.02 12.29
9 4.13 47.03 30.55 12.54 11.59
10 4.18 53.71 23.85 11.30 11.15
11 4.78 41.63 30.88 13.14 12.16
12 4.50 51.38 30.10 13.90 11.98
13 4.58 44.85 31.11 14.57 13.85
14 5.09 49.07 33.16 15.26 13.52
15 5.00 51.99 33.59 13.04 13.07
16 5.24 36.08 29.40 13.46 12.28
17 5.52 53.38 30.20 13.43 11.28
18 5.84 47.00 34.20 16.18 15.60
19 5.66 33.86 27.35 12.50 11.18
20 5.68 56.47 26.23 12.50 13.65
21 5.70 42.68 34.57 16.14 14.93
22 5.86 51.29 35.33 15.69 14.51
23 6.14 43.99 35.85 15.65 14.74
24 6.12 49.76 32.62 14.78 14.11
25 6.30 55.27 31.72 13.72 12.01
26 6.28 34.81 29.14 13.71 13.00
27 6.64 41.02 36.53 16.85 13.92
28 6.86 52.67 37.09 16.07 13.05
29 6.65 32.02 28.51 14.86 12.17
30 6.83 38.22 33.95 17.14 14.64
31 6.97 59.95 23.41 10.02 11.65
32 7.03 35.40 31.81 15.51 12.94
33 6.86 57.61 29.36 11.74 12.64
34 7.19 50.07 41.29 19.25 14.03
35 7.31 48.16 39.90 17.39 14.68
36 7.48 33.49 30.48 18.09 13.45
37 7.54 55.10 37.36 14.56 14.45
38 7.47 43.29 37.29 19.24 15.89
39 7.43 32.17 29.28 15.52 12.62
40 7.49 57.11 31.58 12.81 14.68
41 7.97 37.54 35.75 16.09 14.76
42 8.18 51.89 42.01 18.39 16.20
43 8.14 45.19 39.39 19.77 16.32
44 7.98 46.61 35.54 16.17 15.00
45 8.24 31.06 31.65 15.39 11.84
46 8.23 34.42 32.69 16.52 13.38
47 8.22 58.70 33.68 13.06 14.35
48 8.40 57.02 36.45 14.55 16.88
49 8.38 48.99 38.75 19.47 17.18
50 8.67 35.71 34.88 17.42 15.49
51 8.97 42.51 40.21 18.56 15.35
52 8.87 28.33 28.19 12.81 12.88
53 8.81 54.48 40.98 17.09 16.99
54 8.97 40.05 39.50 18.17 16.58
55 9.13 32.46 35.18 17.00 14.60
56 9.36 37.95 40.71 20.10 17.17
57 9.63 47.64 41.93 18.88 17.29
58 9.20 49.80 43.60 18.20 17.45
59 9.00 56.51 41.15 14.62 17.15
60 9.25 58.38 37.22 16.05 17.93
61 9.36 51.47 46.38 21.02 18.56
62 9.33 34.61 38.76 17.19 15.05
63 9.45 61.92 31.43 11.14 15.75
64 9.72 44.58 40.78 20.02 17.31
65 9.46 30.68 33.95 16.55 13.70
66 9.67 29.34 31.39 13.18 14.82
67 10.14 53.40 43.55 18.79 19.78
68 9.81 32.83 35.68 17.39 15.11
69 9.89 35.27 41.04 18.04 16.58
70 10.07 55.95 42.30 17.33 22.31
71 10.00 60.69 38.93 14.63 20.42
72 10.26 27.11 27.07 12.14 13.41
73 10.33 63.15 34.88 12.47 19.85
74 10.04 49.41 45.73 20.27 20.33
75 10.26 30.55 33.24 14.12 15.82
76 10.25 37.21 38.61 19.71 16.61
77 10.71 60.29 39.30 16.00 19.34
78 10.70 39.98 40.52 21.22 17.82
79 10.63 46.33 44.70 20.52 19.08
80 10.93 42.70 43.94 21.47 19.38
81 10.86 45.02 41.60 22.02 19.73
82 10.79 49.36 44.85 21.69 20.39
83 10.62 32.98 36.17 15.46 16.46
84 11.03 57.73 45.58 17.45 23.21
85 11.01 34.79 39.92 19.46 18.00
86 10.88 37.36 40.96 21.13 17.13
87 10.74 52.13 46.00 16.69 22.54
88 11.11 30.00 35.24 14.31 15.89
89 11.18 32.15 34.74 15.80 17.48
90 11.26 51.67 45.76 18.88 22.53
91 11.69 64.69 35.45 13.39 23.73
92 11.40 25.18 27.81 11.95 15.01
93 11.24 62.69 36.86 11.97 18.69
94 11.71 67.64 27.08 10.33 19.38
95 11.94 54.00 47.01 18.39 29.64
96 11.89 56.00 47.14 17.61 30.91
97 11.92 40.48 43.83 20.16 20.64
98 11.95 59.85 45.53 17.12 30.57
99 12.00 37.60 42.47 20.21 21.20
100 11.83 46.92 47.81 21.30 24.36
101 12.05 44.89 46.16 22.17 22.22
102 11.94 49.89 48.27 19.35 25.04
103 12.20 27.93 33.71 12.94 16.54
104 11.87 35.23 38.94 19.60 20.06
105 12.18 61.88 44.82 15.46 30.97
106 12.17 22.81 23.33 10.16 14.50
107 12.36 42.72 45.65 21.09 24.78
108 12.40 31.19 36.24 14.10 18.07
109 12.32 52.50 50.75 19.00 28.25
110 12.51 51.38 50.32 19.79 29.79
111 12.72 25.07 30.59 12.44 17.46
112 12.80 57.65 51.00 18.53 42.77
113 12.62 49.01 48.42 20.44 30.78
114 12.69 34.62 39.40 17.80 20.36
115 13.01 66.09 35.49 13.19 31.69
116 13.00 20.51 21.50 9.67 14.72
117 12.95 46.79 48.77 22.43 29.26
118 13.42 41.19 45.74 19.57 28.71
119 13.26 54.99 48.41 20.96 53.14
120 13.19 63.12 44.40 16.26 41.41
121 13.35 60.09 46.62 17.15 52.47
122 13.19 30.24 33.81 13.54 21.12
123 13.49 32.96 40.03 17.40 21.45
124 13.31 36.20 44.97 18.19 21.72
125 13.47 43.89 46.71 20.90 29.67
126 13.35 28.73 36.54 13.29 19.71
127 13.81 23.54 28.02 11.22 19.19
128 13.43 38.65 43.36 17.85 25.99
129 13.48 50.44 51.39 22.68 46.09
130 13.60 52.68 50.98 20.29 61.91
131 13.64 71.11 21.23 9.40 14.40
132 13.95 57.36 50.76 20.37 71.00
133 13.74 73.34 15.00 5.86 11.43
134 14.18 45.79 51.67 21.06 43.80
135 14.24 67.89 37.11 12.98 41.17
136 14.47 20.88 24.62 10.76 19.30
137 14.06 25.98 32.21 13.87 19.66
138 14.14 48.19 53.92 20.64 50.80
139 14.39 35.88 43.34 18.32 27.65
140 14.18 72.46 18.37 9.29 18.15
141 14.04 19.34 21.08 9.15 18.77
142 14.33 30.93 40.71 15.03 25.31
143 14.33 61.89 46.87 16.68 62.56
144 14.29 64.94 41.18 15.45 51.07
145 14.63 55.32 51.18 20.78 89.81
146 14.42 39.35 43.74 18.96 30.62
147 14.78 42.37 48.78 21.17 43.61
148 14.69 50.06 54.53 22.03 79.97
149 14.63 70.17 33.20 11.94 29.81
150 14.85 33.31 42.43 17.78 25.90
151 14.76 58.80 50.48 19.15 85.77
152 14.81 28.38 39.08 14.36 26.55
153 14.95 52.76 49.44 20.86 94.65
154 14.72 26.40 34.50 11.56 21.56
155 15.15 44.82 50.48 21.97 60.41
156 15.23 19.19 22.03 8.91 23.89
157 15.26 24.93 32.65 12.22 28.83
158 15.28 47.34 49.97 20.55 81.93
159 15.29 37.85 48.31 19.03 41.37
160 15.38 66.44 45.59 16.50 71.22
161 15.46 40.49 48.79 19.83 51.46
162 15.46 60.76 53.83 20.05 89.74
163 15.49 63.69 47.53 18.04 73.84
164 15.52 68.91 39.76 14.21 53.21
165 15.55 30.56 40.49 16.51 33.36
