#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd8 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.51 44.78 8.74 5.72 31.88
1 2.75 42.46 9.26 5.93 34.59
2 3.07 43.31 9.20 5.40 37.00
3 3.52 42.23 8.67 5.71 37.79
4 3.65 44.40 9.15 6.00 35.13
5 3.70 52.47 8.59 5.88 34.09
6 3.90 49.00 8.59 6.25 35.96
7 4.16 41.85 8.55 6.43 35.79
8 4.18 51.45 8.76 5.83 33.24
9 4.49 44.96 9.78 6.65 37.02
10 4.71 53.99 8.09 5.67 36.21
11 4.41 50.37 7.62 8.88 38.62
12 4.79 40.09 9.17 6.16 40.10
13 4.78 43.63 10.33 8.33 36.67
14 5.12 51.30 8.36 6.24 35.60
15 5.05 42.44 9.09 6.19 38.72
16 5.09 47.93 10.64 7.52 35.05
17 5.32 49.35 9.70 6.78 34.92
18 4.94 52.63 8.92 5.33 32.33
19 5.47 56.62 8.21 5.99 33.19
20 5.31 44.38 10.29 8.71 37.94
21 5.53 54.74 8.14 7.46 36.76
22 5.74 36.78 10.77 6.62 38.94
23 5.53 47.07 9.80 7.90 40.90
24 5.90 53.01 9.94 6.73 32.66
25 5.93 39.65 9.99 7.14 41.86
26 5.81 44.88 11.20 6.72 37.76
27 6.19 43.32 10.17 6.94 39.05
28 6.03 46.10 10.30 7.72 42.20
29 6.08 33.67 9.57 6.22 36.03
30 6.25 51.44 9.96 6.65 37.57
31 6.29 49.49 8.83 7.46 38.98
32 6.47 38.07 11.64 6.90 39.49
33 6.83 55.71 9.31 7.39 35.87
34 6.51 40.51 10.81 7.19 40.67
35 7.00 47.74 10.52 7.28 41.60
36 7.15 37.45 11.17 6.34 38.93
37 7.39 44.99 11.20 8.73 40.82
38 7.44 58.27 8.94 6.82 35.58
39 7.38 49.13 8.58 8.75 43.75
40 7.44 38.28 10.80 7.20 41.20
41 7.69 42.77 11.05 7.18 43.55
42 7.95 50.07 10.37 7.80 41.66
43 7.90 35.74 10.92 7.80 41.90
44 7.93 46.43 10.02 7.78 40.71
45 8.14 60.15 8.93 6.24 34.00
46 8.37 30.96 9.72 6.04 38.41
47 7.91 55.50 10.24 7.38 36.93
48 8.09 38.03 10.82 6.95 39.61
49 8.49 53.44 9.79 7.58 39.23
50 8.48 41.66 10.64 8.40 41.62
51 8.42 44.53 11.80 8.02 43.82
52 8.57 48.44 11.23 7.58 41.85
53 8.52 56.26 9.69 7.65 38.44
54 8.58 35.97 10.13 8.20 39.27
55 9.22 58.65 8.93 7.65 38.17
56 8.99 46.90 10.54 8.00 42.16
57 8.87 51.72 9.89 8.54 41.95
58 9.02 38.83 12.19 8.41 43.29
59 8.96 43.57 10.83 8.00 46.33
60 9.46 32.57 10.37 7.06 40.41
61 9.63 60.94 8.56 7.37 37.93
62 9.57 34.76 10.11 7.96 42.08
63 9.41 40.52 11.00 8.04 45.64
64 9.81 42.26 11.13 8.61 43.33
65 9.61 44.20 10.89 7.93 42.84
66 9.57 50.28 10.33 8.94 41.67
67 10.16 29.44 9.38 6.40 39.41
68 9.77 56.63 10.23 7.86 38.52
69 9.62 46.12 11.58 8.54 44.62
70 10.24 52.17 10.57 8.19 44.76
71 11.04 62.34 9.60 7.95 37.78
72 10.28 47.83 10.11 7.90 41.48
73 10.45 55.23 10.10 8.74 41.81
74 10.45 58.48 9.48 7.80 39.20
75 10.46 35.60 11.12 7.36 43.91
76 10.72 45.41 11.10 8.93 44.04
77 10.61 32.19 10.53 7.74 40.26
78 11.21 33.94 10.87 7.92 41.22
79 10.77 53.80 10.51 9.22 42.76
80 10.77 56.70 10.41 8.31 40.16
81 10.68 64.55 8.62 6.21 33.46
82 10.80 42.00 10.81 7.77 48.29
83 11.42 51.40 10.39 8.64 44.16
84 11.21 43.48 11.38 9.77 46.44
85 11.17 65.53 8.68 6.74 31.68
86 11.40 31.56 9.09 7.87 40.59
87 11.60 29.64 10.09 7.11 41.56
88 11.66 56.31 9.47 8.75 43.40
89 11.85 38.81 10.80 8.04 45.71
90 11.68 53.45 11.02 8.93 44.86
91 11.72 59.96 9.72 7.55 40.49
92 11.99 43.08 11.80 9.22 46.42
93 11.75 48.40 10.10 8.48 44.90
94 12.07 46.90 11.54 9.18 47.87
95 12.29 64.02 9.84 8.15 38.90
96 12.07 54.31 10.95 8.52 42.76
97 12.22 27.35 9.64 7.30 37.42
98 12.26 57.71 10.84 10.52 39.10
99 12.34 30.98 10.36 8.00 45.22
100 12.30 33.34 10.84 8.59 39.27
101 12.29 51.64 10.87 9.60 39.20
102 12.68 50.51 10.46 9.54 42.93
103 12.57 36.13 11.34 8.39 43.25
104 12.69 59.15 10.95 9.85 40.69
105 12.70 53.81 10.47 9.81 43.28
106 12.70 67.41 8.13 7.41 33.95
107 12.75 25.39 8.56 6.38 39.47
108 12.76 44.86 11.12 9.06 46.70
109 12.93 38.53 11.13 9.18 44.65
110 12.83 29.60 9.95 7.62 48.52
111 12.91 41.30 10.93 9.42 47.30
112 13.05 46.20 11.08 9.53 46.17
113 13.15 33.56 10.73 8.45 42.33
114 13.20 63.09 10.98 9.68 41.88
115 13.24 61.05 11.20 9.39 40.08
116 13.19 26.73 9.63 7.37 43.07
117 13.14 30.99 13.88 10.34 44.16
118 13.35 57.11 10.72 9.60 40.33
119 13.22 36.18 9.55 7.74 46.06
120 13.15 68.15 7.88 8.50 35.00
121 13.46 43.43 10.78 9.12 44.99
122 13.37 48.63 10.61 9.85 46.02
123 13.45 37.32 11.28 8.39 45.78
124 13.38 64.81 10.91 11.55 44.18
125 13.42 52.65 10.92 9.31 43.08
126 13.51 68.81 8.47 8.59 33.00
127 13.76 40.69 12.60 9.34 40.91
128 13.77 34.97 11.02 9.02 41.00
129 13.80 59.54 10.41 11.44 38.62
130 13.98 65.63 9.40 9.84 39.11
131 13.97 29.92 10.35 8.80 44.27
132 14.26 67.56 9.51 10.93 36.30
133 14.23 38.76 10.81 9.14 45.09
134 13.96 46.21 10.93 10.53 45.74
135 14.09 51.64 11.04 10.04 46.54
136 13.93 26.61 9.14 7.80 44.60
137 13.96 54.77 11.30 10.92 41.11
138 14.42 63.41 10.51 10.80 40.32
139 14.40 48.68 10.78 10.53 46.03
140 14.51 33.18 9.96 8.70 45.42
141 14.04 56.51 11.62 10.25 42.12
142 13.98 61.87 10.00 12.00 35.50
143 14.61 60.29 10.71 10.35 41.27
144 14.51 27.80 10.33 8.91 45.91
145 14.59 42.59 10.41 9.97 45.81
146 14.59 53.57 11.28 10.13 45.24
147 14.61 41.17 10.75 9.75 47.58
148 14.56 25.68 9.95 6.57 42.19
149 14.89 35.89 11.11 9.24 47.21
150 14.56 46.28 11.03 8.87 46.77
151 14.53 50.18 10.39 9.44 46.11
152 14.78 56.47 11.47 9.86 43.92
153 14.93 70.54 8.25 9.59 30.56
154 14.76 51.31 12.40 9.40 47.40
155 15.19 26.56 9.98 7.96 43.13
156 14.97 50.41 10.67 10.83 44.83
157 15.28 52.70 12.12 10.56 45.97
158 15.57 24.25 8.72 7.66 39.92
159 15.30 43.55 11.55 8.94 41.45
160 15.49 61.95 10.90 12.45 40.31
161 15.29 47.33 11.35 12.14 44.14
162 15.73 29.77 10.24 8.73 45.97
163 15.48 45.21 11.48 10.52 46.07
164 15.48 69.01 8.80 11.55 38.45
165 15.51 31.56 11.31 10.22 47.09
