#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd32 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
139 13.34 37.63 19.30 6.86 43.88
140 13.00 34.50 20.84 6.58 45.02
141 13.00 28.88 15.31 6.56 40.81
142 12.92 30.32 15.00 7.50 38.50
143 13.00 64.73 17.97 6.84 44.14
144 13.40 63.25 18.64 7.69 45.87
145 13.39 27.25 14.07 5.43 39.30
146 13.30 30.89 16.51 5.71 41.51
147 13.22 43.24 21.82 6.86 47.45
148 13.21 57.89 18.80 8.27 46.13
149 13.37 56.25 19.73 6.77 49.50
150 13.47 32.51 19.56 6.64 42.20
151 13.51 35.66 17.76 6.72 46.84
152 13.62 45.34 20.02 7.19 46.88
153 13.49 65.53 17.38 6.08 44.00
154 13.72 28.94 15.38 6.44 43.91
155 13.83 42.71 18.78 8.81 50.08
156 14.13 46.81 18.63 7.25 48.63
157 13.78 49.79 19.53 7.58 50.12
158 13.70 51.33 16.87 8.17 50.03
159 13.98 33.40 18.81 7.19 45.49
160 13.87 66.45 17.41 7.35 43.94
161 13.97 41.27 18.59 7.08 44.98
162 13.95 58.93 18.59 8.38 48.81
163 14.41 64.86 17.01 6.99 45.06
164 14.16 56.43 19.81 7.77 50.35
165 13.90 61.87 19.25 7.75 45.38
166 14.17 35.17 20.37 7.54 47.71
167 14.42 54.16 18.93 8.03 51.47
168 14.36 69.68 15.17 6.54 38.98
169 14.52 39.46 19.31 7.21 45.17
170 14.43 62.87 16.49 7.42 47.96
171 14.40 67.39 15.40 7.68 41.28
172 14.31 57.39 22.00 7.69 53.08
173 14.37 27.05 17.27 5.73 38.88
174 14.54 37.65 20.05 7.04 45.69
175 14.67 31.63 16.89 7.02 44.28
176 14.73 28.34 17.36 6.86 43.95
177 14.42 29.20 19.00 8.00 44.20
178 14.67 48.34 17.45 7.35 48.65
179 14.99 50.27 19.85 7.71 49.81
180 14.71 36.10 16.47 5.91 43.47
181 14.82 43.85 18.54 7.37 48.57
182 14.92 58.34 17.89 7.39 45.15
183 14.94 30.06 17.97 7.19 44.73
184 15.18 65.80 16.50 6.57 43.27
185 15.25 60.64 18.21 8.25 46.70
186 15.33 38.22 17.97 7.80 44.74
187 15.43 40.11 18.74 7.23 50.36
188 15.52 35.25 17.93 7.31 45.29
189 15.30 45.43 17.67 7.13 50.00
190 15.50 56.55 18.31 7.83 48.16
191 15.47 51.88 17.59 7.59 49.39
192 15.55 47.80 17.44 7.63 45.00
193 15.46 29.41 16.55 7.73 49.82
194 15.63 68.80 15.72 7.46 44.82
195 15.72 66.93 17.31 8.06 45.46
196 15.92 62.67 17.41 6.89 48.52
197 15.63 64.17 17.09 5.73 53.18
198 15.88 71.59 13.86 6.10 37.90
199 15.88 45.71 17.36 6.98 50.46
200 15.91 49.31 18.15 7.15 47.70
201 16.14 25.48 14.66 5.85 40.47
202 15.93 39.18 18.55 6.27 47.91
203 16.04 41.07 17.74 7.74 48.30
204 15.96 50.10 17.11 8.33 44.56
205 16.16 30.32 16.55 7.06 47.06
206 16.22 52.26 17.27 7.09 51.23
207 16.27 40.00 16.62 7.31 48.00
208 16.59 53.44 17.72 7.32 49.02
209 16.39 69.67 16.16 6.86 42.86
210 16.37 28.21 15.10 7.72 44.79
211 16.60 49.05 18.53 7.65 48.71
212 16.45 67.55 15.87 7.22 45.88
213 16.53 35.98 16.57 7.85 46.72
214 16.50 72.49 15.48 6.48 39.30
215 16.68 33.80 16.83 7.19 47.89
216 16.79 61.47 18.90 8.22 45.70
217 16.50 70.94 15.60 7.00 41.20
218 16.80 55.44 18.54 7.43 48.06
219 16.99 26.86 15.39 6.52 42.73
220 17.42 36.88 17.40 7.41 47.88
221 16.78 39.33 17.35 7.65 49.33
222 16.99 51.22 18.23 7.80 48.36
223 16.84 30.19 16.28 7.85 42.72
224 16.98 57.54 18.18 7.77 49.28
225 16.80 41.58 19.23 7.62 44.44
226 17.00 71.48 14.15 6.78 43.44
227 16.91 31.77 15.92 7.50 50.83
228 17.36 32.69 16.04 7.51 48.51
229 17.27 62.36 17.88 7.82 47.42
230 17.60 41.95 17.89 7.53 49.66
231 17.90 34.70 16.81 7.73 47.92
232 17.56 73.80 13.46 6.62 36.77
233 17.65 25.08 14.32 5.43 43.19
234 17.58 39.76 17.72 8.47 50.63
235 17.53 59.35 17.69 8.56 48.41
236 17.51 68.92 16.28 8.11 44.89
237 17.73 29.96 15.25 7.12 47.79
238 17.69 53.45 17.96 7.59 50.41
239 17.76 56.19 17.74 7.57 49.70
240 17.69 67.00 16.62 6.53 45.38
241 17.70 45.12 17.08 7.56 47.22
242 17.84 61.70 18.60 8.40 45.91
243 17.86 28.03 16.63 6.91 42.48
244 17.72 38.09 18.67 8.00 52.67
245 18.23 50.50 17.71 7.36 48.22
246 17.90 26.27 15.17 6.67 49.17
247 18.07 65.22 17.09 7.70 46.00
248 18.13 43.65 16.33 8.12 47.64
249 18.07 54.84 17.72 7.16 49.72
250 18.20 71.59 14.15 7.52 43.97
251 18.21 46.56 17.84 7.92 49.24
252 18.22 60.27 18.89 8.29 51.63
253 18.41 32.60 17.10 8.14 47.97
254 18.28 58.59 19.70 8.00 50.58
255 18.31 63.93 17.23 8.04 48.04
256 18.49 70.22 15.50 7.69 45.06
257 18.43 66.24 17.28 7.50 47.18
258 18.34 72.83 14.10 8.93 43.43
259 18.60 57.00 17.36 7.16 48.97
260 18.45 48.45 17.32 7.92 51.11
261 18.59 42.13 16.68 7.48 52.80
262 18.80 23.85 13.82 6.52 41.00
263 18.83 26.06 14.64 6.94 45.89
264 19.16 44.50 18.05 8.21 46.54
265 18.86 40.70 17.28 9.08 52.52
266 19.32 67.75 17.58 8.97 49.49
267 18.99 22.14 13.00 5.85 40.54
268 19.06 60.55 19.67 8.83 49.14
269 18.85 28.35 15.00 8.67 43.33
270 19.45 58.84 18.03 8.31 49.84
271 19.21 47.33 18.10 7.80 48.76
272 19.06 51.42 17.04 7.78 49.94
273 19.13 62.79 17.90 8.94 46.94
274 18.91 72.51 16.00 11.12 43.38
275 19.04 27.53 16.13 8.47 42.67
276 19.32 35.46 17.00 8.32 47.68
277 18.95 69.05 14.25 9.75 46.75
278 19.20 28.86 14.59 7.52 45.15
279 19.29 65.10 18.23 8.77 47.93
280 19.23 24.75 15.40 6.35 43.15
281 19.79 52.96 17.69 7.95 50.18
282 19.46 55.21 17.72 8.15 50.14
283 19.46 30.07 16.73 7.73 46.27
284 19.48 33.50 17.05 7.30 47.68
285 19.46 41.53 17.98 8.20 52.38
286 19.54 70.00 16.26 8.33 46.05
287 19.44 25.87 14.37 7.89 46.32
288 20.21 27.40 16.45 8.03 46.91
289 19.58 32.28 15.33 9.33 46.67
290 19.88 43.41 18.11 7.88 52.16
291 19.65 57.22 18.32 8.42 52.20
292 19.57 48.67 18.38 7.00 48.25
293 19.93 61.32 17.52 9.09 50.70
294 19.89 37.79 18.31 8.80 55.00
295 19.87 34.50 16.73 9.23 46.86
296 19.99 65.85 18.33 8.59 46.89
297 19.92 29.26 16.15 8.92 43.46
298 20.20 31.73 16.64 8.17 47.85
299 20.05 48.14 16.93 7.60 49.13
300 20.14 25.18 14.98 6.59 42.02
301 20.41 39.07 17.42 8.53 52.54
302 19.96 41.25 17.22 8.22 56.44
303 20.44 62.94 17.89 9.03 46.10
304 20.61 36.03 18.00 7.33 51.73
305 20.34 46.12 17.79 8.40 51.19
306 20.31 70.04 16.16 9.34 46.23
307 20.37 50.52 17.81 7.70 50.53
308 20.38 30.10 15.00 8.22 42.88
309 20.26 57.51 16.81 8.67 55.62
310 20.47 68.03 17.74 10.53 46.98
311 20.57 54.49 17.00 8.73 50.73
312 20.67 76.01 14.02 8.17 39.72
313 20.78 58.43 18.17 8.42 53.08
314 20.77 60.34 17.24 8.54 49.80
315 20.81 66.23 17.40 9.76 45.49
316 20.74 47.37 17.78 8.32 58.08
317 20.65 24.25 14.69 7.00 45.00
318 21.09 40.13 16.80 7.86 54.66
319 21.22 50.99 18.17 8.28 50.17
320 21.07 43.52 17.04 8.43 54.10
321 21.04 34.32 17.31 8.38 51.24
322 20.96 26.25 15.17 6.79 48.17
323 21.01 37.83 18.13 7.57 50.80
324 21.42 29.11 15.68 8.33 44.62
325 21.13 31.68 16.14 8.56 48.03
326 21.21 22.07 13.54 7.09 45.30
327 21.23 24.00 14.02 7.72 47.02
328 21.21 53.82 19.67 10.00 52.30
329 21.28 52.56 17.34 8.54 54.24
330 21.41 56.79 18.12 9.61 53.68
331 21.38 74.86 14.21 9.90 43.26
332 21.39 48.33 17.50 8.58 53.56
333 21.46 45.52 17.51 9.40 52.91
334 21.27 59.21 17.50 9.33 53.25
335 21.57 67.30 17.78 10.98 47.82
336 21.38 77.27 14.95 12.37 37.26
337 21.57 42.54 16.83 8.34 54.68
338 21.54 61.42 18.96 9.79 46.47
339 21.52 25.83 13.62 7.69 48.33
340 21.41 37.12 17.62 9.38 50.31
341 21.73 33.35 16.93 7.70 50.89
342 21.53 76.23 14.10 11.10 38.90
343 21.68 35.53 17.61 8.90 51.65
344 21.74 49.64 18.29 9.00 52.43
345 21.87 59.26 18.40 9.68 54.32
346 21.66 31.46 14.60 7.60 53.60
347 21.96 63.96 18.23 10.65 47.30
348 22.01 68.83 16.61 10.69 48.59
349 21.80 77.97 14.56 9.44 37.11
350 22.23 24.38 14.61 8.04 43.08
351 22.27 36.84 17.57 8.62 52.28
352 22.32 41.36 17.72 8.51 55.51
353 22.08 73.75 15.71 12.55 42.90
354 22.16 48.58 18.97 10.32 50.76
355 22.19 54.29 18.00 9.49 53.40
356 22.16 31.82 15.35 9.44 47.09
357 22.29 75.51 14.52 13.96 44.06
358 22.29 44.73 19.00 8.67 52.38
359 22.29 60.81 19.33 10.11 51.58
360 22.40 26.65 16.24 7.82 42.76
361 22.33 46.74 19.04 9.00 53.59
362 22.57 50.25 17.92 9.71 51.44
363 22.18 65.91 19.00 11.40 50.40
364 22.40 78.30 13.82 13.35 38.76
365 22.71 30.25 16.34 8.68 47.10
366 22.46 34.33 16.48 7.48 53.45
367 22.59 71.17 17.02 13.94 45.17
368 22.39 58.22 17.81 9.50 48.38
369 22.47 43.38 18.46 9.91 53.26
370 22.53 29.15 16.50 8.50 50.25
371 22.79 45.81 18.59 9.02 54.76
372 22.98 67.12 16.46 13.68 49.28
373 22.86 72.70 15.65 13.76 45.49
374 22.84 56.87 18.91 9.61 53.68
375 22.79 77.45 14.69 19.22 39.75
376 23.00 22.81 13.62 7.78 43.89
377 22.89 59.68 18.05 11.02 53.78
378 23.28 38.65 17.81 8.49 53.00
379 22.94 47.65 20.21 10.79 51.82
