#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf7 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.15 47.08 16.74 11.32 11.16
1 2.89 50.66 17.36 10.87 11.58
2 3.11 47.66 18.46 10.43 13.60
3 3.27 40.35 18.08 10.13 11.35
4 3.22 52.26 17.37 9.68 10.53
5 3.89 42.18 18.12 10.30 14.91
6 3.79 48.83 18.96 10.00 14.19
7 3.69 51.02 18.50 9.25 14.81
8 4.19 53.03 17.14 10.47 13.63
9 4.36 46.36 20.31 10.71 15.34
10 4.47 51.52 18.90 11.09 13.86
11 4.66 43.41 19.69 12.33 14.54
12 4.62 37.39 17.21 10.19 12.66
13 4.35 48.07 19.42 12.23 16.38
14 4.56 49.73 18.92 12.96 14.73
15 5.01 41.23 18.79 12.52 15.88
16 5.34 55.59 17.67 11.77 13.93
17 5.30 46.82 20.30 14.98 13.95
18 5.15 45.20 23.50 10.50 19.83
19 5.26 35.73 20.25 11.08 12.00
20 5.49 48.64 20.03 13.59 15.44
21 5.61 43.46 20.01 11.88 15.93
22 5.99 53.43 18.25 12.71 15.83
23 5.75 33.73 16.60 11.40 14.05
24 6.05 39.27 19.61 12.02 15.93
25 6.10 35.71 18.12 9.91 13.22
26 6.15 41.32 20.16 12.26 16.13
27 6.23 48.63 20.07 14.32 17.32
28 6.18 55.29 20.62 12.38 13.31
29 6.17 34.36 18.78 10.44 14.78
30 6.17 51.88 18.89 11.44 16.00
31 6.64 43.72 20.85 12.93 15.25
32 6.40 50.93 18.42 14.67 18.12
33 6.72 45.95 21.50 13.79 17.45
34 6.53 49.66 20.44 13.88 16.06
35 6.74 42.22 23.04 11.54 15.71
36 6.96 38.95 20.19 13.65 16.84
37 6.72 40.13 21.62 17.25 16.75
38 6.84 52.07 19.60 13.13 17.13
39 7.03 55.03 19.93 12.58 16.15
40 7.05 50.53 19.31 11.10 18.48
41 7.15 41.08 21.23 15.73 15.23
42 7.24 53.38 20.41 12.18 16.97
43 7.24 56.32 19.60 14.30 16.35
44 7.43 31.48 17.22 11.09 12.76
45 7.38 33.40 18.19 11.33 14.42
46 7.78 45.26 21.88 13.48 16.27
47 7.80 42.21 20.50 12.89 16.75
48 7.66 40.39 18.68 12.68 17.46
49 8.05 50.93 21.78 13.74 17.18
50 7.76 49.24 21.88 17.02 15.37
51 8.13 54.97 19.75 13.21 17.46
52 8.23 31.89 18.32 12.61 14.55
53 8.03 34.50 18.08 12.92 15.92
54 8.49 30.58 17.65 11.16 13.19
55 8.39 35.93 20.26 12.59 14.50
56 8.40 57.09 19.21 14.00 18.36
57 8.53 48.09 23.31 15.37 16.81
58 8.56 33.51 17.60 11.90 16.33
59 8.53 37.31 20.80 11.56 16.12
60 8.74 43.42 19.51 12.33 17.83
61 8.78 52.83 22.69 14.38 18.40
62 8.94 39.17 20.48 14.58 14.58
63 8.67 45.48 21.64 14.85 16.00
64 9.24 61.21 18.79 12.31 18.10
65 9.11 54.55 22.66 14.38 19.40
66 9.20 35.23 20.18 12.48 16.55
67 9.24 50.58 22.09 15.75 18.11
68 9.11 32.55 17.63 9.74 18.58
69 9.18 48.63 21.45 12.70 19.35
70 9.36 57.00 22.69 14.10 19.12
71 9.77 42.82 22.42 14.78 17.47
72 9.76 37.27 20.12 13.09 19.08
73 9.60 33.95 20.53 13.33 15.10
74 9.73 27.87 15.34 10.44 14.72
75 9.80 58.78 21.35 15.62 22.10
76 9.77 55.54 24.04 14.61 23.26
77 9.91 40.46 20.37 16.26 15.06
78 10.11 48.48 23.20 15.96 18.31
79 10.10 38.83 23.22 10.63 17.37
80 10.20 54.40 22.92 15.08 22.20
81 10.28 52.76 23.90 15.12 21.67
82 10.51 33.34 20.21 12.06 17.06
83 10.37 28.75 17.51 10.15 16.27
84 10.31 35.42 19.94 11.69 16.46
85 10.28 41.58 20.94 12.67 17.22
86 10.77 56.97 21.86 14.27 25.52
87 10.45 61.27 20.03 12.66 22.68
88 10.62 46.08 21.83 12.87 18.89
89 10.46 39.57 21.75 13.25 18.38
90 10.85 63.69 18.61 11.06 22.02
91 10.53 55.20 20.17 16.50 27.17
92 10.68 40.63 20.60 12.60 16.35
93 11.08 30.18 18.35 11.17 19.00
94 11.17 47.15 22.55 15.33 21.47
95 11.05 51.14 22.50 15.19 23.67
96 11.14 39.33 21.50 15.89 18.22
97 11.23 34.83 21.63 10.06 17.75
98 11.36 48.90 20.56 15.68 23.74
99 11.38 54.20 19.69 13.92 26.94
100 11.21 28.44 18.08 9.08 18.46
101 11.46 59.37 20.27 13.78 27.88
102 11.78 61.49 21.29 12.71 31.11
103 11.45 51.95 17.67 15.50 26.50
104 11.66 28.96 19.00 10.87 22.78
105 11.89 41.13 20.07 13.42 23.05
106 11.90 65.33 18.09 12.64 29.87
107 12.08 44.93 23.36 14.84 23.43
108 11.83 50.13 22.89 16.06 24.14
109 11.81 56.81 19.72 13.11 27.11
110 12.15 39.38 21.90 12.00 21.51
111 12.40 63.43 20.15 12.75 35.52
112 12.20 30.05 19.07 12.22 22.22
113 12.21 35.01 21.27 11.90 19.61
114 12.38 52.12 22.25 15.93 33.08
115 12.17 28.04 19.03 9.19 20.16
116 12.37 25.39 14.14 9.57 20.89
117 12.52 47.35 22.36 15.26 27.71
118 12.20 37.28 19.98 13.23 23.52
119 12.64 59.77 20.77 12.73 38.80
120 12.88 57.46 21.30 14.59 39.70
121 12.72 55.20 21.33 14.57 39.53
122 12.62 27.05 18.15 10.20 24.00
123 12.51 43.71 21.00 13.25 25.25
124 13.01 49.91 22.99 16.48 34.04
125 13.17 54.02 22.53 15.18 41.02
126 12.88 40.09 20.61 14.89 26.08
127 12.90 31.25 18.97 11.62 23.50
128 12.91 38.05 21.02 10.86 22.21
129 13.02 42.51 21.36 15.31 28.43
130 13.19 27.57 16.94 10.22 25.20
131 13.40 65.77 19.15 11.41 41.07
132 13.38 33.16 20.88 12.83 27.36
133 13.42 45.10 20.96 16.23 35.95
134 13.77 62.96 21.29 13.78 48.83
135 13.30 23.64 16.11 9.89 25.89
136 13.66 24.10 16.18 9.47 27.67
137 13.89 30.42 20.17 10.67 29.99
138 13.91 40.75 21.57 14.49 35.12
139 13.91 60.27 22.10 13.36 53.32
140 13.88 47.78 22.13 15.01 42.66
141 14.01 51.84 21.25 14.61 51.95
142 14.01 56.02 22.03 13.63 59.98
143 14.02 26.16 19.89 11.06 30.83
144 14.05 38.12 21.06 12.98 32.18
145 14.05 27.67 18.83 9.83 27.88
146 14.40 43.30 23.68 14.96 44.74
147 14.20 24.72 15.90 9.45 30.00
148 14.53 67.59 19.76 11.59 53.93
149 14.76 35.40 21.11 12.17 36.49
150 14.79 49.52 22.52 14.95 61.67
151 14.82 53.92 22.50 15.03 75.54
152 14.75 58.32 21.52 13.91 70.35
153 14.76 32.74 19.94 12.69 35.73
154 14.75 46.14 23.32 15.17 57.68
155 14.91 65.10 22.35 13.19 63.77
156 14.82 28.64 19.36 11.70 38.31
157 14.82 23.05 15.23 9.05 36.54
158 15.17 61.82 22.42 13.67 72.67
159 15.34 40.42 21.29 14.67 55.29
160 15.21 29.81 18.53 11.11 38.56
161 15.50 26.16 18.16 9.78 43.13
162 15.46 37.85 21.16 14.33 51.65
163 15.55 56.14 23.90 14.77 91.18
164 15.61 51.89 23.06 15.05 88.82
165 15.74 42.72 23.01 15.86 72.34
