#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl11 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
139 12.82 26.30 11.83 4.75 43.43
140 12.69 39.61 15.11 6.67 51.11
141 12.40 36.65 14.71 6.14 50.00
142 12.56 32.33 15.73 6.73 45.64
143 12.80 46.43 12.68 6.19 49.78
144 12.83 37.29 16.12 6.82 49.49
145 12.82 64.89 11.08 5.78 40.57
146 13.35 42.30 14.73 6.69 53.03
147 12.87 47.80 12.82 6.21 50.03
148 13.14 68.57 8.87 4.87 40.30
149 13.10 56.50 14.18 6.61 47.67
150 13.12 62.92 12.00 5.46 44.23
151 13.38 31.27 14.21 5.88 50.49
152 13.27 66.47 10.38 5.05 39.48
153 13.11 70.99 0.00 0.00 0.00
154 13.51 40.09 14.97 6.54 48.19
155 13.48 50.44 13.87 7.53 48.07
156 13.59 48.62 14.02 6.64 49.89
157 13.51 45.95 14.23 7.00 47.00
158 13.65 36.49 14.09 6.36 50.09
159 13.81 44.03 13.94 6.42 48.30
160 13.75 53.45 13.79 6.07 51.31
161 13.92 27.34 12.83 5.74 43.81
162 13.86 51.61 13.20 6.30 51.10
163 14.00 61.67 12.02 6.29 49.37
164 13.89 57.79 12.33 5.73 48.80
165 13.88 28.87 12.00 5.06 49.84
166 14.09 23.80 10.12 4.68 38.89
167 13.83 26.32 12.67 5.67 46.67
168 13.94 49.19 13.00 6.30 51.70
169 14.11 39.01 14.18 5.87 49.13
170 14.03 45.60 12.34 6.17 50.00
171 14.09 50.17 13.22 6.22 52.04
172 14.33 32.37 13.58 6.69 53.40
173 14.24 35.73 14.16 6.61 52.41
174 14.21 47.10 13.35 6.60 50.48
175 14.35 55.39 13.42 6.29 51.51
176 14.31 69.16 10.11 6.02 40.85
177 14.34 31.01 14.23 6.57 50.46
178 14.41 59.84 12.00 6.28 50.09
179 14.52 29.37 12.79 6.25 47.85
180 14.51 52.09 13.95 6.86 49.32
181 14.30 53.97 13.83 5.83 51.83
182 14.62 66.61 10.86 6.64 47.07
183 14.72 44.16 13.57 6.35 51.54
184 14.63 57.43 13.32 7.00 47.73
185 14.46 26.92 11.60 6.13 44.20
186 14.72 37.05 13.71 7.07 51.05
187 14.75 34.04 13.15 6.51 53.24
188 14.63 49.81 13.12 6.27 51.65
189 14.85 38.98 14.46 7.15 50.26
190 14.89 47.27 14.14 7.43 50.67
191 15.17 72.20 9.15 5.69 38.25
192 14.78 27.30 10.75 6.75 50.50
193 14.98 30.11 12.60 5.47 49.87
194 14.98 59.50 13.18 6.12 46.24
195 15.37 52.08 13.00 6.87 52.80
196 15.03 26.77 11.38 6.12 44.75
197 15.32 49.10 12.78 6.65 51.71
198 15.23 53.93 13.28 6.31 50.64
199 15.44 28.15 12.44 6.50 50.31
200 15.16 50.67 14.24 8.29 52.59
201 15.19 58.03 12.97 7.25 54.50
202 15.16 63.65 12.53 7.38 51.62
203 15.24 68.67 9.90 7.19 43.35
204 15.36 26.16 12.41 6.21 43.06
205 15.61 35.18 13.81 7.17 49.96
206 15.55 45.89 14.40 6.84 51.85
207 15.75 37.51 14.05 6.21 52.08
208 15.67 43.28 13.71 6.93 54.39
209 15.76 22.71 10.04 4.63 43.29
210 15.53 29.91 13.72 6.78 49.22
211 15.69 62.06 12.11 6.70 55.24
212 15.47 67.52 10.58 8.17 45.33
213 15.57 59.32 12.89 7.50 51.78
214 15.88 25.35 11.64 6.52 43.31
215 15.76 30.95 12.26 5.96 51.74
216 15.96 32.62 14.28 6.63 52.20
217 16.13 58.03 13.72 8.42 54.15
218 16.07 63.90 12.29 7.19 49.57
219 15.89 66.02 12.89 7.94 48.06
220 16.13 39.90 14.17 6.96 51.77
221 16.10 44.62 12.97 6.82 52.03
222 15.90 55.16 12.43 6.43 50.10
223 15.97 67.96 12.02 6.43 48.74
224 16.01 69.41 10.77 5.88 46.58
225 16.17 46.76 14.37 7.31 52.33
226 16.24 48.58 13.24 6.95 51.97
227 16.32 60.34 12.58 8.00 48.19
228 16.59 29.43 12.38 7.26 48.79
229 16.39 51.01 13.40 7.33 50.31
230 16.66 53.54 12.90 7.21 52.49
231 16.63 72.94 9.49 6.88 39.31
232 16.28 27.64 13.29 6.18 46.88
233 16.45 70.34 11.02 6.43 45.84
234 16.41 31.25 13.93 6.37 46.37
235 16.48 66.81 11.30 6.70 51.00
236 16.62 22.75 11.32 6.25 44.48
237 16.55 42.09 14.36 7.39 51.39
238 16.52 33.99 13.34 6.53 53.63
239 16.76 21.08 10.17 5.73 41.52
240 17.05 24.88 12.21 5.75 49.56
241 16.84 26.68 12.91 6.56 48.87
242 17.06 46.87 13.24 7.41 51.26
243 16.74 68.48 12.39 10.05 46.84
244 16.90 44.74 13.68 7.41 52.08
245 17.00 49.58 12.69 6.99 52.62
246 16.89 37.42 15.71 7.06 51.47
247 17.06 57.17 12.54 7.07 54.10
248 17.01 32.69 14.39 7.03 49.18
249 17.18 55.24 12.62 8.08 51.37
250 16.99 63.38 12.03 7.11 50.54
251 17.20 35.08 14.31 6.29 52.53
252 17.29 30.98 12.79 7.24 52.26
253 17.18 38.58 14.32 7.09 52.55
254 17.10 42.88 13.37 8.16 54.47
255 17.31 65.83 11.89 7.91 50.66
256 17.17 69.97 11.62 7.88 47.06
257 17.29 27.50 12.23 7.49 50.18
258 17.35 40.91 14.03 6.98 52.54
259 17.56 75.21 8.59 7.09 39.28
260 17.46 58.74 13.52 7.35 51.32
261 17.64 37.44 14.02 7.23 51.53
262 17.51 21.25 11.41 5.62 41.84
263 17.77 71.17 10.88 7.47 43.84
264 17.67 44.41 13.66 7.35 49.81
265 17.56 32.10 13.85 8.46 51.00
266 17.90 51.82 13.43 7.31 51.84
267 17.54 52.73 13.12 6.88 52.00
268 17.86 47.26 13.16 7.37 53.65
269 17.84 49.42 13.26 7.70 51.87
270 17.98 25.18 12.17 6.78 43.02
271 17.93 22.32 10.19 6.62 43.73
272 17.85 27.26 13.21 7.26 49.42
273 18.19 28.67 12.64 7.04 49.19
274 18.25 34.63 14.08 7.57 51.32
275 18.07 32.57 13.55 7.47 52.09
276 18.15 53.74 12.86 7.74 54.46
277 18.02 20.89 9.88 5.35 40.65
278 18.25 58.11 12.51 8.13 51.97
279 18.25 63.90 11.90 8.27 51.32
280 18.50 65.75 11.87 8.52 49.42
281 18.41 41.31 13.85 8.09 52.21
282 18.32 77.12 7.79 6.37 34.92
283 18.31 45.59 13.41 6.71 54.71
284 18.35 55.11 13.83 8.67 56.64
285 18.50 19.31 10.34 5.25 39.59
286 18.39 56.39 13.07 7.93 54.19
287 18.47 48.43 13.42 6.85 52.32
288 18.65 50.82 12.89 8.04 53.78
289 18.52 67.72 11.60 8.96 51.07
290 18.59 43.33 13.88 8.14 52.48
291 18.51 20.75 11.37 5.68 37.21
292 18.60 36.12 12.85 7.61 54.76
293 18.86 37.97 13.67 7.27 53.36
294 18.85 62.92 12.22 8.90 51.22
295 18.81 69.60 11.58 8.42 47.21
296 18.78 23.99 11.92 6.69 48.73
297 18.81 39.91 13.40 7.51 57.51
298 19.02 29.95 12.76 7.29 56.04
299 19.13 32.18 13.65 7.85 48.81
300 18.90 59.36 12.55 9.11 52.35
301 18.69 31.33 12.75 5.75 59.25
302 18.91 45.88 13.52 7.52 54.34
303 18.99 61.50 12.51 8.91 54.55
304 18.97 56.74 12.40 9.64 53.12
305 19.14 72.68 10.61 10.29 45.58
306 19.32 77.61 9.20 9.65 35.57
307 19.40 27.70 12.72 6.98 53.13
308 19.20 53.42 12.66 8.77 53.86
309 19.28 35.22 13.21 8.40 51.37
310 19.52 45.75 13.26 8.01 55.04
311 19.45 63.68 12.54 9.61 46.36
312 19.39 40.60 12.97 8.47 56.09
313 19.77 43.00 13.63 8.37 50.46
314 19.55 50.32 13.77 8.06 57.06
315 19.80 54.66 13.83 9.78 52.92
316 19.56 56.16 12.44 8.36 54.15
317 19.82 19.59 10.46 6.15 41.22
318 19.51 23.18 11.19 7.71 45.43
319 19.84 68.33 12.02 10.45 48.21
320 19.71 58.10 14.02 8.98 52.59
321 19.76 48.23 13.71 8.20 54.58
322 19.87 60.93 13.00 8.92 51.46
323 19.84 33.44 13.52 8.62 46.52
324 19.94 76.44 9.13 12.47 41.61
325 20.29 72.24 11.39 10.75 47.98
326 20.17 39.64 14.15 8.55 56.24
327 20.00 36.16 14.59 7.92 54.92
328 19.94 53.00 14.10 8.35 54.30
329 20.27 70.14 12.79 10.91 49.50
330 20.32 22.70 11.51 6.93 46.33
331 20.08 45.57 14.48 8.45 56.00
332 20.29 59.59 13.72 9.20 51.91
333 20.27 61.94 13.20 9.50 52.38
334 20.21 63.22 13.60 8.84 50.24
335 20.33 31.26 13.77 6.87 54.64
336 20.30 38.00 13.26 9.45 56.92
337 20.49 50.59 12.99 8.88 52.10
338 20.50 17.94 10.00 6.38 38.12
339 20.62 35.02 13.83 10.10 54.76
340 20.46 48.27 14.40 8.50 51.64
341 20.89 56.44 13.53 9.31 54.06
342 20.51 52.33 14.25 10.50 53.30
343 20.55 64.77 12.20 10.48 51.54
344 20.52 76.92 9.30 11.65 42.04
345 20.64 33.13 13.76 7.95 51.90
346 20.55 78.18 10.05 11.55 40.18
347 20.72 24.28 12.07 8.61 46.33
348 20.49 27.10 17.75 11.00 54.00
349 20.81 54.42 12.94 9.20 54.20
350 20.70 66.53 12.64 12.71 50.24
351 20.63 74.07 10.79 16.61 43.21
352 21.04 41.23 14.41 8.60 55.50
353 20.74 45.17 13.74 8.21 54.26
354 20.83 27.86 13.62 9.19 50.59
355 21.08 26.46 13.23 8.40 51.37
356 20.91 30.43 12.73 8.67 52.60
357 20.99 46.87 14.29 8.56 55.37
358 20.94 58.52 13.51 10.26 53.80
359 20.83 62.18 13.07 13.93 49.60
360 21.11 67.77 12.90 11.60 51.12
361 20.97 79.07 8.68 18.44 39.92
362 21.11 75.95 10.29 17.35 44.00
363 21.03 38.99 14.51 10.43 52.14
364 21.02 29.22 12.57 7.79 53.71
365 21.18 63.81 13.17 12.23 54.58
366 21.39 20.05 11.04 7.45 43.26
367 21.45 17.34 10.42 7.36 37.68
368 21.42 69.71 11.74 15.24 51.74
369 21.14 72.16 11.00 17.67 50.67
370 21.39 74.77 9.93 16.56 43.19
371 21.44 53.05 14.51 10.55 51.97
372 21.49 61.49 13.51 9.99 51.48
373 21.68 70.82 12.32 19.81 48.24
374 21.63 32.75 14.16 8.30 54.45
375 21.41 37.97 13.42 9.63 58.26
376 21.53 59.20 12.98 9.65 57.86
