#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl4 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.40 44.85 8.81 4.19 21.84
1 2.14 48.58 9.45 5.55 24.50
2 2.41 41.51 7.48 4.44 25.38
3 2.31 44.92 8.29 4.43 25.96
4 2.86 48.96 10.67 5.20 23.15
5 2.70 39.95 8.76 5.00 23.97
6 3.04 44.65 8.76 3.88 25.29
7 3.16 46.85 7.82 4.50 25.35
8 3.18 51.42 10.11 4.58 24.36
9 3.14 39.18 9.05 4.00 23.75
10 3.29 41.94 9.82 4.29 21.46
11 3.25 40.25 10.25 6.00 24.12
12 3.87 50.04 9.95 4.69 25.39
13 4.08 43.42 10.86 4.66 25.91
14 3.91 38.82 10.60 4.57 23.43
15 3.73 41.23 8.39 4.67 24.92
16 3.86 47.27 10.19 4.72 26.47
17 4.17 45.22 11.70 5.32 23.32
18 4.16 36.38 7.95 4.40 25.51
19 4.26 40.23 10.68 5.05 24.66
20 4.51 41.94 10.17 5.06 26.85
21 4.70 48.91 11.32 4.30 26.10
22 4.91 38.95 9.84 5.30 29.33
23 5.24 37.32 10.27 5.57 25.12
24 5.06 46.11 10.52 5.60 25.60
25 5.29 43.85 12.09 5.37 26.93
26 5.22 52.91 8.00 5.29 26.98
27 5.66 49.89 10.69 5.81 27.91
28 5.96 46.46 12.56 6.47 27.49
29 5.87 58.83 9.53 5.12 25.18
30 5.74 45.04 11.43 6.00 26.14
31 5.92 42.82 13.69 5.57 26.17
32 6.18 37.94 13.72 5.65 28.37
33 6.06 57.61 10.08 5.00 29.54
34 6.46 44.99 11.52 5.36 27.90
35 6.51 41.19 11.82 5.80 25.82
36 6.61 48.80 10.78 5.06 29.76
37 6.58 37.01 13.95 7.52 27.57
38 6.84 58.62 11.40 4.82 26.84
39 7.09 43.02 11.02 5.49 27.97
40 6.94 35.81 14.80 4.92 29.02
41 7.16 50.12 11.35 5.37 31.17
42 7.19 38.21 13.14 4.60 27.64
43 7.43 45.66 13.58 6.62 29.28
44 7.33 53.72 9.84 6.07 29.04
45 7.38 55.71 10.91 5.97 30.17
46 7.55 40.65 12.87 5.68 31.74
47 7.99 61.42 9.88 4.63 25.93
48 7.70 32.32 15.73 5.60 29.33
49 7.65 52.30 11.50 6.71 32.86
50 8.14 43.89 12.65 6.00 29.65
51 8.04 39.33 14.62 5.62 29.30
52 8.18 41.56 12.67 6.27 30.71
53 8.23 32.97 13.68 5.41 28.82
54 8.27 51.87 10.69 6.00 30.11
55 8.17 53.95 10.00 6.11 30.41
56 8.30 35.49 13.33 5.17 29.17
57 8.18 59.62 9.91 5.18 27.91
58 8.72 56.81 12.48 6.25 31.52
59 8.79 46.06 14.84 5.51 28.64
60 9.15 30.66 13.72 5.96 28.01
61 8.76 37.44 13.58 6.37 30.05
62 8.85 49.94 13.57 6.00 28.37
63 8.92 40.79 14.88 6.14 31.00
64 8.87 53.62 11.70 6.32 28.50
65 8.87 33.97 13.71 5.92 27.75
66 9.17 55.67 9.42 5.60 32.70
67 9.47 48.36 14.91 6.34 30.83
68 9.13 32.53 14.53 5.19 28.61
69 9.39 45.30 15.67 6.35 30.26
70 9.22 50.95 10.33 5.50 27.69
71 9.42 61.37 8.05 6.03 28.31
72 9.34 34.68 15.19 5.35 28.84
73 9.58 53.50 12.91 7.47 34.00
74 9.63 43.26 15.54 6.05 31.28
75 9.63 37.89 12.89 5.19 31.89
76 9.81 39.26 15.39 6.67 32.76
77 9.97 62.96 8.04 5.55 28.54
78 10.23 32.42 14.36 5.94 30.89
79 9.73 59.73 8.89 5.14 31.49
80 9.81 35.47 12.66 6.24 29.18
81 9.91 46.94 15.00 5.40 34.10
82 10.09 64.74 7.79 4.77 30.21
83 10.06 54.29 11.57 9.14 31.07
84 10.55 40.74 15.77 6.81 32.28
85 10.14 52.96 12.44 8.67 31.11
86 10.19 61.72 9.31 5.12 32.44
87 10.35 46.07 18.58 7.57 32.25
88 10.68 60.33 9.45 6.24 29.32
89 10.52 48.07 15.77 6.94 30.42
90 10.62 50.31 14.32 7.46 33.10
91 10.64 56.49 9.35 6.17 30.83
92 10.57 52.18 12.22 6.46 31.51
93 10.90 62.49 9.25 5.56 30.22
94 10.95 53.81 11.76 5.78 31.13
95 11.09 26.42 10.72 5.04 29.48
96 11.34 30.20 13.42 5.88 31.19
97 11.15 45.68 17.05 7.56 33.41
98 11.09 51.63 14.00 6.29 33.18
99 11.27 48.38 14.38 6.97 32.12
100 11.25 41.88 18.95 6.45 30.82
101 11.14 44.56 17.89 5.89 34.89
102 11.49 27.45 10.73 6.25 31.29
103 11.57 50.53 15.03 6.78 28.81
104 11.48 52.63 12.69 8.69 30.69
105 11.63 39.48 12.49 5.89 31.70
106 11.62 34.28 13.65 7.74 30.79
107 11.82 62.47 8.65 5.59 29.87
108 11.86 32.26 13.97 6.37 29.01
109 11.74 36.16 13.66 6.63 31.69
110 11.76 43.22 17.06 6.21 31.24
111 11.74 53.92 10.65 7.10 28.55
112 12.12 55.82 10.17 6.80 31.65
113 11.85 63.88 8.75 6.00 29.42
114 11.91 47.40 15.28 8.44 31.17
115 12.07 49.62 13.34 5.91 31.60
116 12.00 57.97 9.38 6.81 29.69
117 12.18 38.25 12.13 6.91 30.87
118 12.06 41.52 18.30 8.45 31.40
119 12.14 28.09 13.30 6.11 27.78
120 12.03 53.04 12.38 5.62 31.92
121 12.24 68.06 6.22 4.76 24.20
122 12.34 51.74 13.07 7.59 31.37
123 12.30 65.53 7.97 5.70 29.52
124 12.38 44.76 14.60 6.63 32.51
125 12.85 36.49 14.38 6.08 31.75
126 12.55 50.36 14.39 7.39 30.22
127 12.50 69.42 7.47 5.13 24.67
128 12.75 58.92 9.20 7.49 32.68
129 12.57 52.97 13.11 6.61 30.00
130 12.93 30.28 13.56 6.93 30.34
131 12.59 56.68 9.22 7.11 35.78
132 13.34 61.13 8.85 7.32 31.76
133 12.88 25.18 10.05 6.00 29.23
134 12.78 57.86 9.63 5.63 34.74
135 13.01 53.58 13.78 7.33 31.83
136 13.53 64.23 8.13 6.93 31.99
137 13.13 66.60 5.88 5.55 29.14
138 13.10 39.17 13.79 7.21 34.04
139 13.16 50.29 13.40 6.53 31.62
140 13.42 43.91 15.12 8.00 34.57
141 13.40 48.00 14.07 7.52 32.48
142 13.16 40.25 14.40 6.30 34.50
143 13.44 52.06 12.17 6.72 31.68
144 13.48 38.12 14.26 7.15 34.13
145 13.71 57.41 9.43 7.51 32.58
146 13.74 32.28 15.44 6.92 32.85
147 13.81 34.87 13.36 7.61 33.89
148 13.60 40.86 13.90 5.81 29.52
149 13.72 54.96 10.79 7.47 32.28
150 13.71 70.43 6.93 4.97 26.31
151 14.25 25.80 11.14 5.79 29.15
152 14.03 66.99 7.27 7.27 28.00
153 14.13 39.35 13.67 8.51 33.13
154 14.18 41.96 11.70 6.16 32.57
155 14.23 31.38 17.00 7.37 34.89
156 14.84 36.27 13.87 6.77 35.01
157 14.53 44.81 12.50 7.42 31.70
158 14.25 47.07 13.75 8.08 33.22
159 14.45 56.42 9.73 7.98 33.02
160 14.48 33.56 14.00 7.09 31.38
161 14.21 49.80 11.06 7.29 30.76
162 14.68 66.03 8.79 8.21 32.17
163 14.35 30.38 13.57 6.57 30.86
164 14.69 48.64 11.93 7.77 32.53
165 14.62 59.60 8.67 7.06 32.65
