#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu14 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.84 45.64 4.39 3.55 26.11
1 1.95 42.40 4.79 3.67 21.62
2 2.64 43.43 4.10 4.31 25.51
3 2.69 45.33 4.26 4.48 26.10
4 2.56 39.99 4.24 4.06 24.29
5 3.37 40.80 5.15 4.25 29.22
6 3.66 49.65 6.07 4.84 24.52
7 3.99 39.67 5.78 4.98 26.69
8 3.94 44.77 5.30 4.40 27.02
9 3.72 48.12 5.29 5.50 25.71
10 4.56 47.47 5.84 4.70 28.46
11 4.34 42.03 9.25 5.75 37.00
12 4.63 41.22 6.50 6.08 31.83
13 5.17 42.65 6.62 4.79 28.17
14 4.99 38.87 7.10 4.61 28.24
15 4.92 52.69 5.79 4.57 27.40
16 4.75 37.56 5.25 5.42 27.83
17 5.62 36.65 7.71 4.97 29.71
18 5.38 40.48 7.97 4.90 28.07
19 5.46 45.04 6.81 5.01 30.63
20 5.35 35.10 10.50 5.17 34.67
21 5.49 50.56 6.25 4.67 26.36
22 5.78 34.37 7.02 5.65 29.29
23 6.08 40.35 7.65 5.16 27.74
24 6.18 41.99 6.42 5.82 27.67
25 6.23 55.32 6.50 5.64 25.31
26 6.24 43.66 6.91 5.95 29.14
27 6.48 38.80 8.77 5.39 29.18
28 6.50 46.41 6.90 5.43 30.28
29 6.64 50.05 5.92 4.86 29.99
30 6.76 33.56 7.77 4.88 28.67
31 6.73 47.99 5.67 4.56 30.94
32 6.77 36.18 6.92 4.63 26.45
33 6.94 54.78 6.38 4.81 27.41
34 7.05 42.93 7.31 5.55 30.53
35 6.86 53.54 5.45 5.35 27.55
36 7.05 40.82 8.05 4.74 27.79
37 7.21 39.37 7.50 5.64 29.98
38 7.60 32.44 7.40 5.14 28.46
39 7.31 56.11 6.30 5.57 28.86
40 7.39 34.74 6.66 5.52 28.90
41 7.33 47.71 5.58 4.94 26.55
42 7.40 52.73 6.24 6.07 31.55
43 7.51 50.76 7.14 5.86 29.00
44 7.62 36.09 7.56 5.18 31.36
45 7.60 44.12 9.08 6.06 25.89
46 7.94 41.73 7.92 4.90 28.18
47 7.72 49.01 6.28 5.81 27.06
48 8.15 53.04 6.88 5.01 27.73
49 7.79 46.71 6.08 6.08 31.52
50 7.94 55.82 6.21 6.05 25.84
51 8.45 35.49 6.40 6.34 28.72
52 8.32 43.35 8.97 5.77 25.94
53 8.42 48.02 7.44 4.94 32.00
54 8.60 33.40 7.56 5.02 27.59
55 8.60 54.33 6.59 6.84 28.86
56 8.31 46.94 8.07 6.73 27.27
57 8.37 55.61 6.20 4.80 21.00
58 8.56 57.44 6.72 5.94 23.92
59 8.70 40.62 8.75 6.05 30.25
60 9.02 49.39 7.61 6.28 30.39
61 8.77 34.63 7.25 5.62 32.62
62 8.81 38.46 7.41 5.35 27.82
63 8.90 44.63 8.86 6.35 26.51
64 8.70 51.74 8.86 7.29 31.57
65 9.06 59.40 5.79 5.21 26.69
66 9.39 42.34 7.87 5.11 31.51
67 9.19 36.86 7.70 6.14 26.97
68 9.20 51.23 6.02 6.29 27.69
69 9.66 29.96 5.46 5.38 28.71
70 9.26 57.76 7.67 5.04 29.71
71 9.22 39.34 7.90 5.70 27.90
72 9.73 45.06 6.73 6.31 28.65
73 9.37 61.75 5.82 4.94 27.39
74 9.58 53.41 5.84 6.47 27.06
75 9.70 34.94 7.14 6.66 29.60
76 9.53 38.02 7.20 6.60 23.60
77 9.76 38.99 9.05 5.91 29.32
78 9.80 55.21 7.14 5.22 28.92
79 10.05 60.89 5.99 5.61 27.36
80 9.86 40.42 7.96 6.00 30.26
81 9.92 57.37 7.92 4.78 32.00
82 10.14 50.11 6.38 5.38 31.50
83 10.32 37.36 6.64 5.80 30.16
84 10.15 31.37 7.29 6.71 28.41
85 10.42 33.05 7.14 5.57 27.55
86 10.24 56.11 6.79 5.07 27.57
87 10.46 59.32 6.68 6.85 28.09
88 10.58 41.33 7.71 6.08 30.84
89 10.50 35.30 8.39 5.22 29.72
90 11.14 58.34 5.84 5.78 28.63
91 11.01 31.96 6.20 5.65 31.75
92 10.89 39.59 7.36 5.52 27.36
93 11.02 45.90 8.23 6.82 31.05
94 11.34 28.36 5.16 4.75 32.49
95 10.91 36.85 8.85 6.31 29.23
96 11.60 49.38 6.92 5.80 30.04
97 11.14 56.09 6.92 5.49 30.08
98 11.27 34.65 6.41 5.61 29.10
99 11.33 42.61 7.79 5.10 33.05
100 11.13 62.65 5.00 5.75 27.25
101 11.45 38.66 7.32 6.70 32.82
102 11.56 40.87 6.74 5.84 29.40
103 11.53 54.43 6.11 6.67 28.25
104 11.80 61.35 5.43 6.07 28.02
105 11.63 35.64 6.78 6.44 31.56
106 11.82 43.94 6.10 6.94 26.97
107 11.91 45.63 6.91 6.33 28.87
108 11.93 30.83 6.42 5.97 31.52
109 12.11 36.52 5.76 6.97 29.00
110 12.09 47.32 6.63 6.13 28.37
111 12.46 38.21 6.55 5.98 33.17
112 12.62 41.44 6.45 6.72 29.96
113 12.55 58.57 5.01 6.14 30.61
114 12.13 39.23 7.22 5.44 30.22
115 12.43 48.93 6.08 6.68 31.12
116 12.32 65.42 4.86 7.86 29.43
117 12.65 26.48 5.56 4.94 30.82
118 12.56 45.06 8.92 8.08 26.31
119 12.86 28.63 5.06 5.74 31.12
120 12.66 63.13 5.26 6.18 28.47
121 12.89 43.50 5.98 5.76 28.00
122 12.92 47.22 5.65 6.03 27.95
123 13.01 50.53 5.70 7.14 28.73
124 13.16 66.19 4.31 5.97 24.84
125 13.24 33.45 5.34 6.04 30.55
126 13.52 60.46 5.31 6.85 30.28
127 13.38 49.06 5.57 5.77 29.43
128 13.61 41.66 5.71 5.13 30.03
129 13.28 46.11 0.00 0.00 0.00
130 13.51 29.80 6.48 6.59 33.07
131 13.59 52.05 5.45 6.14 30.64
132 13.61 25.16 4.86 6.00 28.14
133 13.97 55.58 5.48 6.52 32.85
134 13.80 31.18 5.70 5.47 31.94
135 13.71 39.84 6.00 6.76 29.27
136 13.88 45.71 4.91 5.96 29.47
137 14.11 67.39 4.52 6.45 28.93
138 13.74 68.62 3.31 4.69 24.54
139 13.97 43.50 5.66 5.97 28.59
140 14.14 48.44 5.29 6.26 27.74
141 13.87 29.08 6.00 7.75 40.00
142 14.08 35.23 6.31 6.29 32.31
143 14.36 62.86 5.08 6.92 30.05
144 14.29 32.93 5.46 6.24 29.37
145 14.14 24.23 5.24 4.68 30.61
146 14.24 27.75 4.89 5.69 32.68
147 14.16 59.48 6.28 7.11 35.17
148 14.31 40.28 6.35 7.13 27.61
149 14.54 30.19 6.09 6.50 31.68
150 14.42 36.67 6.20 6.47 33.40
151 14.66 57.35 4.68 6.22 26.95
152 14.89 65.51 5.00 6.89 27.79
153 14.74 41.50 4.38 7.04 31.57
154 14.72 60.64 5.66 6.34 34.89
155 14.66 58.75 4.94 7.61 31.00
156 14.78 23.97 4.73 5.84 31.22
157 14.75 31.46 5.88 6.94 28.25
158 15.04 67.86 4.49 6.32 26.10
159 15.07 26.63 4.87 6.51 29.46
160 15.19 55.30 5.29 7.37 30.63
161 15.27 32.73 5.65 6.04 28.77
162 15.11 49.70 5.41 5.88 29.00
163 15.28 51.86 5.88 7.22 27.80
164 15.22 58.41 5.50 7.78 29.83
165 15.45 44.86 5.56 6.03 31.15
