#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk2 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.16 43.75 9.74 16.44 5.85
1 2.56 41.66 10.86 14.81 5.09
2 2.67 38.88 8.68 16.36 5.65
3 3.32 45.99 11.14 17.29 7.19
4 3.15 48.40 10.13 17.25 6.85
5 3.54 43.41 11.74 17.04 6.97
6 3.86 40.03 11.55 17.45 6.87
7 3.80 52.10 8.94 17.57 7.37
8 4.33 50.30 10.70 18.41 8.63
9 4.80 37.97 11.16 17.55 7.48
10 4.62 46.26 12.14 18.67 7.96
11 4.96 35.17 12.14 19.01 7.50
12 5.16 42.64 11.79 19.48 8.22
13 4.99 44.98 11.67 21.05 8.05
14 5.09 52.63 11.68 19.27 7.38
15 5.21 48.79 11.83 18.95 8.92
16 5.51 40.07 11.59 17.96 8.58
17 5.50 51.40 13.43 19.50 8.47
18 5.32 55.90 9.27 17.55 8.18
19 5.59 55.15 11.17 17.28 8.28
20 5.92 36.58 10.90 19.02 8.16
21 6.11 44.88 13.17 20.84 9.43
22 5.89 47.18 13.50 19.22 10.02
23 5.93 54.13 10.92 18.06 9.71
24 6.45 41.86 12.26 19.64 8.93
25 6.48 34.36 12.07 20.56 8.52
26 6.61 30.26 9.45 15.21 6.89
27 6.82 39.47 12.91 19.31 9.12
28 6.74 53.16 13.15 19.64 9.80
29 6.65 47.71 12.82 19.11 11.42
30 6.87 55.28 12.49 19.05 8.05
31 6.83 56.63 11.46 17.46 10.44
32 6.89 43.33 12.41 20.09 9.70
33 7.24 45.99 14.21 21.54 10.98
34 7.63 37.45 12.67 17.89 9.97
35 7.36 49.50 12.94 20.00 10.47
36 7.38 59.70 11.35 15.98 9.33
37 7.40 35.04 13.99 18.61 10.17
38 7.19 51.68 14.64 19.09 10.64
39 7.67 41.17 12.08 19.27 9.48
40 7.82 30.02 11.50 16.60 8.96
41 7.91 32.48 12.05 18.52 9.77
42 7.67 43.80 14.12 21.28 12.52
43 8.15 47.26 15.57 20.15 11.89
44 8.04 51.55 13.25 19.96 11.84
45 7.89 53.82 15.28 18.21 11.58
46 8.00 55.69 13.64 18.36 11.64
47 8.30 43.78 13.83 20.02 10.98
48 8.86 39.56 13.61 20.24 12.08
49 8.90 61.36 11.01 15.85 13.01
50 8.50 49.07 15.91 19.26 13.16
51 8.59 54.01 13.50 18.00 12.19
52 8.98 37.02 13.12 19.66 10.78
53 8.79 41.85 15.92 20.14 10.98
54 9.05 45.39 14.67 22.30 13.09
55 9.12 33.96 12.90 18.24 11.51
56 9.12 49.78 13.25 18.88 13.14
57 9.60 28.22 12.98 15.65 10.18
58 9.57 52.40 14.75 19.93 14.55
59 9.42 55.56 12.21 17.54 14.57
60 9.42 48.04 13.35 19.69 15.08
61 9.73 59.72 13.34 18.71 17.13
62 9.82 54.60 13.78 19.48 16.30
63 9.94 47.34 12.56 20.94 13.74
64 10.21 41.19 14.93 21.82 14.70
65 9.94 43.49 14.74 21.61 13.41
66 10.32 35.92 13.54 19.22 13.97
67 10.43 62.14 13.09 15.31 18.00
68 10.54 57.31 13.51 17.51 18.93
69 10.47 32.88 14.32 18.89 12.54
70 10.39 38.51 14.44 20.81 14.03
71 10.58 45.72 15.63 20.42 16.89
72 10.41 49.90 14.06 20.53 17.89
73 10.75 27.12 9.92 14.40 12.13
74 10.49 25.37 11.13 12.16 9.53
75 10.93 52.35 14.81 20.56 19.39
76 11.21 54.64 16.59 18.61 21.14
77 11.21 29.72 15.05 15.73 13.96
78 11.47 59.93 14.32 16.82 21.84
79 11.45 40.39 15.02 21.00 19.63
80 11.59 42.89 15.63 23.09 21.51
81 11.37 47.91 15.35 19.99 19.28
82 11.44 62.89 12.56 15.76 21.13
83 11.55 35.53 15.48 19.43 17.52
84 11.36 50.25 16.50 17.34 22.32
85 11.81 37.63 15.40 19.61 21.51
86 11.52 32.56 13.09 17.77 19.91
87 11.84 45.07 15.69 22.09 22.41
88 12.01 57.13 14.65 17.33 25.23
89 12.21 27.23 11.04 13.33 17.35
90 11.99 49.66 14.86 21.16 23.88
91 12.35 67.34 11.53 14.79 23.60
92 12.11 52.07 16.87 18.94 28.57
93 12.20 32.95 12.07 18.94 17.41
94 12.67 22.90 10.56 12.30 17.55
95 12.53 47.30 15.33 20.25 29.41
96 12.51 40.84 15.51 20.35 27.44
97 12.58 64.21 14.00 14.72 25.44
98 12.65 61.54 13.93 17.31 28.56
99 13.07 25.53 11.94 12.97 20.34
100 12.77 35.59 15.44 18.13 25.56
101 12.72 65.67 13.17 15.10 25.77
102 12.78 51.92 15.32 20.32 30.28
103 13.10 58.63 15.48 16.98 33.25
104 12.76 43.87 15.48 17.62 30.55
105 12.98 49.67 15.60 18.69 33.68
106 12.95 54.40 16.36 19.97 32.59
107 13.22 38.39 16.43 18.22 32.19
108 13.03 33.64 13.84 17.24 25.24
109 13.23 44.97 16.59 19.43 32.37
110 13.42 56.13 17.11 17.56 33.12
111 13.45 32.74 12.97 17.41 28.28
112 13.54 42.46 16.56 20.84 39.55
113 13.25 27.90 11.00 12.38 25.03
114 13.67 29.23 13.15 14.88 25.44
115 13.63 21.48 10.54 10.89 26.00
116 13.83 63.46 14.91 16.39 32.98
117 13.86 52.52 18.82 20.03 45.97
118 13.87 47.09 16.57 19.66 46.02
119 13.84 67.57 14.13 14.39 31.59
120 13.92 60.59 16.41 16.60 36.67
121 14.10 36.61 15.68 16.84 42.00
122 13.77 40.55 17.20 17.43 45.97
123 13.98 31.25 14.16 14.50 32.16
124 14.13 49.71 17.38 18.77 51.75
125 14.51 24.50 11.38 12.71 36.68
126 14.49 70.42 12.14 13.53 32.69
127 14.48 34.17 15.95 17.48 42.51
128 14.39 44.87 15.88 21.02 54.73
129 14.42 40.05 16.44 18.16 55.83
130 14.54 55.01 16.48 19.09 48.03
131 14.68 57.93 15.82 17.52 44.87
132 14.64 27.44 13.16 13.29 35.52
133 14.77 65.21 15.77 16.11 37.80
134 14.88 42.52 17.49 19.53 68.18
135 14.69 31.42 13.56 15.69 37.97
136 15.11 38.31 16.24 17.39 67.13
137 15.03 61.30 16.66 17.64 42.02
138 15.14 47.99 18.15 19.28 69.99
139 15.09 51.23 16.62 18.91 64.28
140 15.39 22.15 11.24 11.58 44.26
141 15.55 29.63 13.91 14.09 54.19
142 15.49 35.67 16.33 17.91 70.21
143 15.59 67.90 15.91 16.41 40.31
144 15.57 53.55 17.78 19.33 66.27
145 15.68 32.78 15.75 15.49 61.73
146 15.67 45.54 18.12 18.32 84.06
147 15.77 56.08 19.09 19.07 62.75
148 15.88 41.13 17.17 18.63 98.04
149 15.87 70.60 15.47 15.03 40.35
150 15.85 26.11 13.52 12.36 53.34
151 15.99 62.83 16.59 16.94 46.67
152 16.06 59.40 17.93 17.84 55.43
153 16.29 43.43 18.94 17.90 107.48
154 16.05 65.75 16.38 16.44 47.41
155 16.14 49.72 17.01 19.89 91.94
156 16.34 39.11 15.89 18.03 104.94
157 16.50 36.81 15.49 16.89 95.05
158 16.63 47.48 19.35 18.66 103.58
159 16.63 52.03 19.62 19.53 93.93
160 16.75 21.21 11.79 11.95 68.66
161 16.83 24.16 13.26 12.94 71.55
162 16.71 31.05 14.40 16.11 77.77
163 16.80 34.31 15.38 17.73 99.57
164 16.88 28.29 15.22 14.30 79.55
165 16.83 57.27 18.45 17.69 69.19
