#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra9 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.38 44.15 10.50 11.72 5.32
1 2.81 46.06 10.67 14.03 5.54
2 3.21 48.32 10.63 15.22 5.79
3 3.70 44.58 11.14 13.35 6.04
4 4.36 50.07 10.51 14.60 6.61
5 4.34 39.55 11.05 14.69 5.13
6 4.50 52.69 10.48 13.44 6.50
7 4.46 47.36 10.75 15.24 6.44
8 4.90 42.47 11.04 15.43 6.34
9 5.02 45.20 11.27 14.39 6.81
10 5.24 39.57 11.86 16.34 6.83
11 5.53 50.62 11.67 14.76 7.46
12 5.67 53.23 10.05 14.20 7.71
13 5.84 47.70 11.71 15.97 6.92
14 5.81 40.08 12.33 17.20 6.13
15 6.14 56.40 11.02 13.82 6.89
16 6.29 38.16 12.27 15.43 6.17
17 6.06 54.27 12.95 12.84 7.77
18 6.26 44.16 12.07 17.05 6.80
19 6.66 51.69 11.55 15.67 7.63
20 6.67 41.90 11.85 17.32 6.83
21 6.92 49.56 12.66 15.90 7.95
22 6.97 46.38 11.25 17.68 6.56
23 7.29 53.71 11.82 15.30 8.49
24 7.48 40.51 12.06 15.79 6.79
25 7.28 57.98 9.69 12.40 8.06
26 7.62 55.92 10.69 14.67 8.44
27 7.71 37.71 12.35 15.79 7.29
28 7.79 43.27 12.66 16.44 6.79
29 8.08 35.74 10.30 15.62 6.37
30 8.13 48.02 12.33 20.94 8.07
31 8.04 51.12 13.24 16.76 8.05
32 8.00 39.39 10.80 15.74 6.72
33 8.27 45.64 12.85 19.25 7.41
34 8.60 59.30 10.74 12.85 9.64
35 8.42 54.14 13.85 14.04 10.11
36 8.81 41.65 13.53 15.92 6.98
37 8.49 37.97 10.08 14.33 8.25
38 9.20 39.28 11.92 14.65 7.51
39 9.20 49.64 13.67 19.10 10.32
40 9.15 52.16 13.81 15.57 10.51
41 8.99 54.90 12.68 14.00 9.19
42 9.34 44.49 12.43 16.18 7.89
43 9.40 33.51 9.79 12.48 6.42
44 9.18 36.51 12.44 13.61 7.14
45 9.26 56.81 13.05 13.66 11.09
46 9.74 47.06 12.17 16.69 8.96
47 9.76 61.13 12.06 13.43 12.20
48 9.89 41.65 13.21 13.52 8.79
49 10.18 63.24 11.49 12.91 11.67
50 10.21 37.41 13.18 11.68 8.44
51 10.04 58.66 12.31 13.36 12.58
52 10.28 53.82 13.16 15.23 11.80
53 10.37 56.16 12.83 14.34 13.69
54 10.46 43.49 13.82 16.29 8.54
55 10.52 49.08 13.70 16.53 9.84
56 10.26 32.16 10.88 11.47 5.88
57 10.64 51.37 14.22 16.55 12.82
58 10.76 45.93 13.63 16.50 10.50
59 10.84 34.99 13.56 10.82 8.14
60 10.84 32.86 10.83 11.50 7.42
61 11.13 39.46 12.20 14.10 9.17
62 11.09 60.80 12.83 12.52 16.74
63 11.21 58.13 14.75 13.67 17.80
64 11.69 41.89 12.20 13.76 9.69
65 11.39 36.49 13.41 10.00 9.88
66 11.56 55.51 14.15 13.58 17.90
67 11.51 63.11 12.32 12.73 19.75
68 11.27 45.33 11.48 16.22 10.15
69 11.66 53.19 13.43 14.38 16.81
70 11.56 43.56 14.03 13.56 10.12
71 11.65 47.65 13.12 15.29 13.04
72 11.61 30.35 12.38 8.62 7.38
73 12.21 29.37 9.77 10.23 8.11
74 12.04 35.67 13.08 11.80 9.47
75 12.22 38.19 13.51 12.10 10.21
76 12.39 59.79 13.49 12.85 23.39
77 12.08 45.23 13.40 13.23 10.34
78 12.57 51.46 15.74 14.20 21.01
79 12.36 40.34 14.27 13.40 10.64
80 12.66 62.09 14.25 11.92 25.46
81 12.42 31.07 13.14 10.28 8.06
82 12.40 57.38 14.18 11.63 26.47
83 12.73 64.90 12.59 12.38 23.81
84 12.86 55.28 13.87 12.00 25.13
85 12.63 34.17 12.68 10.11 10.98
86 12.51 35.40 11.40 14.50 10.10
87 13.01 46.63 13.89 14.37 15.90
88 12.83 42.79 14.03 13.80 13.16
89 12.98 49.01 14.13 14.41 17.51
90 12.80 33.01 12.83 10.61 10.50
91 13.32 53.07 14.38 12.58 28.99
92 12.99 40.25 13.22 13.39 11.43
93 13.12 57.82 15.49 12.63 27.20
94 13.38 31.27 13.26 9.71 11.08
95 13.60 36.52 13.82 10.70 12.22
96 13.35 29.50 12.34 9.22 9.68
97 13.27 34.97 13.56 8.60 9.98
98 13.77 44.67 14.10 13.01 15.94
99 13.54 59.51 15.96 12.42 32.29
100 13.94 63.69 13.75 13.00 32.60
101 13.76 66.40 13.11 13.36 33.21
102 14.14 50.70 14.02 13.81 32.39
103 14.08 41.24 13.13 11.57 16.70
104 14.05 61.36 14.63 14.25 35.38
105 14.28 54.79 15.31 14.04 50.62
106 14.26 48.49 15.61 12.83 25.92
107 14.33 57.12 15.53 13.34 46.45
108 14.18 59.11 16.06 13.24 37.48
109 14.04 33.31 12.17 9.30 14.46
110 14.50 68.89 12.29 11.45 26.69
111 14.54 28.25 11.46 9.12 13.85
112 14.75 46.52 14.49 13.32 25.73
113 14.79 31.04 12.16 9.62 15.28
114 14.63 34.55 13.30 9.64 12.84
115 14.90 37.34 14.12 10.99 18.27
116 14.89 52.59 14.82 13.43 51.87
117 15.08 44.31 14.59 11.95 25.61
118 14.95 66.29 13.86 12.80 38.86
119 15.35 39.73 13.33 10.86 21.17
120 15.33 60.44 16.11 13.59 52.29
121 15.36 42.09 13.76 12.13 25.64
122 15.29 62.86 14.06 13.23 42.42
123 15.62 33.33 12.09 10.13 20.53
124 15.61 55.63 15.69 12.60 73.73
125 15.74 58.16 15.15 13.02 69.44
126 15.65 48.44 15.93 12.93 48.17
127 15.82 50.90 14.13 12.50 60.45
128 16.03 35.85 13.17 9.91 23.13
129 15.93 70.52 12.95 12.60 29.41
130 16.00 65.05 15.55 13.52 46.34
131 16.09 67.85 13.64 12.17 38.39
132 16.10 27.50 11.15 7.68 23.09
133 16.28 53.49 16.71 13.44 85.10
134 16.29 46.11 15.25 12.76 45.48
135 16.30 30.67 12.71 8.68 24.66
136 16.52 43.53 14.96 11.88 43.67
137 16.70 40.83 14.72 12.06 38.77
138 16.71 60.86 16.62 12.95 74.91
139 16.81 63.33 15.12 12.72 57.15
140 16.93 49.69 15.13 12.89 83.08
141 16.97 33.90 12.46 9.84 31.80
142 16.97 56.01 15.94 13.56 104.41
143 16.92 38.31 13.97 11.59 32.92
144 17.18 58.55 15.86 13.09 93.98
145 17.30 47.50 17.07 13.30 77.91
146 17.23 69.09 13.09 12.96 40.22
147 17.36 51.95 16.89 13.30 103.73
148 17.26 66.24 15.68 13.04 52.12
149 17.47 28.98 12.63 8.64 36.84
150 17.47 71.63 13.77 13.26 35.98
151 17.47 26.07 12.07 7.97 39.10
152 17.75 36.33 13.41 10.33 45.62
153 17.47 44.91 15.74 11.30 74.28
154 17.82 31.62 11.66 8.95 50.66
155 17.92 54.21 16.73 12.54 111.27
156 17.97 41.55 16.03 11.86 64.64
157 18.08 38.83 14.52 11.38 51.30
158 17.88 43.74 14.67 11.17 65.48
159 17.98 62.13 15.56 13.66 79.16
160 18.25 64.57 16.50 14.17 65.77
161 18.37 56.75 16.10 13.45 116.66
162 18.37 49.98 15.94 13.14 113.26
163 18.45 59.75 16.32 14.32 105.76
164 18.55 23.95 11.43 7.36 54.31
165 18.43 45.94 15.71 13.70 107.01
