#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pe3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
139 13.80 53.78 16.53 21.52 44.03
140 13.98 45.89 18.10 24.06 34.70
141 13.92 38.89 14.93 20.20 21.98
142 14.17 73.04 11.19 13.35 27.59
143 13.76 65.92 16.29 17.07 38.21
144 14.12 62.20 17.05 18.12 48.98
145 14.21 68.16 15.79 15.83 41.42
146 14.00 29.28 13.54 13.37 20.88
147 14.30 41.45 15.59 21.01 31.29
148 14.07 51.34 17.32 22.41 44.59
149 14.57 31.55 14.62 16.23 27.57
150 14.63 48.35 18.41 22.61 50.60
151 14.26 36.98 13.85 19.70 24.40
152 14.30 24.17 13.60 12.10 20.13
153 14.57 50.55 18.07 21.88 48.27
154 14.70 64.85 17.11 18.34 48.89
155 14.77 34.53 14.80 18.58 31.50
156 14.61 26.47 15.31 12.55 27.14
157 14.96 43.80 17.78 20.29 47.59
158 14.89 55.07 17.66 21.05 64.68
159 14.92 57.70 18.02 20.33 61.89
160 15.15 39.29 15.78 20.40 39.02
161 15.12 28.76 14.96 15.35 33.50
162 15.23 60.14 16.83 19.61 72.70
163 15.19 36.86 16.49 19.19 37.98
164 15.23 52.60 18.75 20.17 67.79
165 15.20 71.42 15.19 14.96 39.48
166 15.38 46.16 16.52 21.74 60.55
167 15.60 24.23 13.84 12.92 36.42
168 15.40 69.03 17.25 16.88 48.06
169 15.47 62.72 18.29 18.38 66.22
170 15.33 26.62 14.07 14.71 32.56
171 15.65 66.49 18.21 17.55 55.66
172 15.66 74.33 13.35 13.31 32.85
173 15.75 41.76 17.45 20.92 52.02
174 15.75 49.82 19.31 20.58 78.23
175 15.63 32.99 16.60 17.53 43.04
176 16.02 32.00 14.84 18.61 43.02
177 16.27 34.87 15.72 19.02 48.20
178 16.16 54.64 20.10 19.97 92.45
179 16.21 57.60 18.62 19.92 88.23
180 16.41 27.02 14.58 15.05 48.10
181 16.54 44.29 17.89 20.23 81.13
182 16.56 30.04 15.47 17.51 48.77
183 16.47 37.38 15.98 19.98 55.88
184 16.60 47.09 18.82 21.89 94.10
185 16.58 64.00 19.87 18.84 76.15
186 16.58 39.79 16.56 19.70 70.03
187 16.49 72.28 16.24 15.24 47.71
188 16.65 51.86 19.86 21.39 108.86
189 16.62 60.87 18.14 19.46 84.72
190 16.82 22.57 13.67 12.89 50.96
191 16.64 70.06 18.41 15.34 49.82
192 16.84 67.87 19.79 18.00 57.84
193 17.11 49.37 18.53 21.04 113.14
194 16.77 74.22 16.14 14.07 41.29
195 17.15 75.22 14.77 13.95 39.60
196 17.24 41.92 19.22 20.82 87.47
197 17.27 32.36 16.78 19.63 63.05
198 17.31 55.92 21.73 22.18 117.81
199 17.48 65.70 20.77 18.81 76.97
200 17.48 58.74 18.81 20.47 113.69
201 17.55 53.33 19.91 21.53 120.51
202 17.62 25.08 14.72 15.44 57.99
203 17.77 20.02 13.56 12.45 67.23
204 17.72 34.72 16.28 18.69 73.24
205 17.71 27.91 15.93 16.97 64.58
206 17.79 37.17 17.30 20.13 88.50
207 17.71 72.78 19.14 15.61 58.62
208 17.95 39.48 18.12 20.92 100.35
209 17.97 43.97 18.03 21.74 114.15
210 17.93 47.23 19.81 19.93 120.46
211 17.97 61.00 20.83 19.71 104.69
212 18.09 63.41 20.66 18.81 94.08
213 17.95 70.06 20.52 17.39 60.77
214 18.24 30.44 16.88 18.68 81.80
215 18.24 50.40 20.04 19.88 132.08
216 18.25 76.91 15.03 13.22 43.53
217 18.37 22.72 15.46 14.60 75.71
218 18.14 67.67 19.37 16.82 74.74
219 18.44 57.14 21.63 20.23 126.72
220 18.69 54.67 21.61 22.48 137.61
221 18.67 74.73 20.85 15.69 63.56
