#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge11 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.41 48.57 11.88 13.55 3.45
1 2.27 46.61 10.79 12.53 3.50
2 2.91 46.23 15.62 12.25 3.06
3 3.32 44.58 12.83 16.17 3.66
4 3.14 49.69 12.75 14.17 5.46
5 3.82 46.63 14.60 15.32 4.04
6 3.89 48.33 14.48 14.48 3.93
7 3.90 50.45 13.13 15.40 4.45
8 4.10 52.60 13.96 16.02 3.96
9 4.35 43.07 13.51 15.48 4.21
10 4.88 45.92 14.15 17.92 4.34
11 4.54 49.87 15.45 17.45 3.64
12 5.27 51.02 15.19 18.77 4.37
13 5.26 54.97 13.01 17.18 4.36
14 5.26 40.94 15.52 17.79 5.10
15 5.65 48.45 15.87 18.88 5.06
16 5.76 42.20 16.77 19.48 4.88
17 5.55 52.34 16.22 18.89 5.44
18 5.95 39.47 14.49 18.54 5.17
19 5.78 37.36 16.11 17.16 4.35
20 6.03 45.53 17.01 18.12 4.75
21 5.92 57.40 12.95 19.34 4.43
22 6.27 53.60 15.38 18.83 5.73
23 6.56 43.41 16.45 20.82 5.23
24 6.66 36.45 15.03 19.41 4.69
25 6.65 50.34 17.60 21.05 4.75
26 6.47 55.77 13.09 20.65 4.26
27 6.56 58.60 13.64 18.79 4.61
28 6.46 52.36 15.00 21.25 6.00
29 7.08 40.72 15.57 20.60 5.37
30 7.27 38.12 16.49 20.95 5.62
31 7.14 55.80 18.59 19.73 5.55
32 7.76 53.28 18.54 21.07 6.11
33 7.88 45.55 18.18 22.93 6.34
34 7.65 58.63 17.16 19.24 5.77
35 8.01 42.74 16.55 22.91 5.68
36 8.03 50.47 18.23 24.86 6.03
37 8.26 61.54 14.95 18.46 5.57
38 8.46 31.99 15.79 18.15 4.51
39 8.28 39.71 17.65 21.51 5.84
40 8.58 36.74 17.42 21.11 5.83
41 8.73 58.43 14.00 20.67 5.38
42 8.58 60.44 18.50 21.00 3.83
43 9.14 48.67 17.59 28.81 6.81
44 9.19 43.73 19.94 28.92 6.34
45 8.98 53.89 17.08 24.14 6.41
46 9.20 59.44 17.59 20.13 6.52
47 9.56 46.32 20.72 27.07 7.52
48 9.30 51.47 19.12 26.03 6.88
49 9.35 34.64 16.24 20.90 5.90
50 9.34 33.04 18.32 16.96 6.28
51 9.42 30.43 13.02 16.60 5.28
52 9.55 40.64 20.73 25.53 6.94
53 9.45 54.83 18.93 24.13 6.50
54 9.57 56.69 17.84 21.82 6.82
55 9.67 63.09 16.22 19.26 5.71
56 9.80 37.81 18.95 22.44 7.11
57 10.43 31.07 15.70 19.81 5.73
58 10.53 34.88 16.48 22.23 6.23
59 10.49 52.42 21.13 28.08 7.94
60 10.17 36.65 14.83 24.00 6.50
61 10.59 49.11 21.56 29.18 7.70
62 10.90 55.58 20.05 23.23 8.51
63 10.91 40.74 20.74 26.52 8.03
64 10.88 65.42 14.89 15.44 6.84
65 10.89 28.38 15.74 14.65 5.28
66 11.38 63.10 17.86 19.71 7.63
67 11.13 59.29 21.65 23.80 8.53
68 11.36 38.39 20.11 25.59 7.04
69 11.82 31.63 17.97 19.92 7.11
70 11.70 36.50 19.17 23.50 7.62
71 11.67 34.92 19.56 24.54 7.62
72 11.82 50.39 22.07 28.93 9.54
73 11.91 29.31 19.23 17.73 7.99
74 12.00 44.34 23.27 31.08 9.19
75 12.13 47.42 21.12 30.87 9.25
76 12.10 60.45 20.66 21.70 8.88
77 11.83 27.20 15.61 13.76 6.92
78 12.10 58.08 20.14 23.96 9.44
79 11.91 65.43 17.61 14.31 8.08
80 12.25 40.79 21.19 29.85 8.67
81 12.52 38.48 21.05 25.72 8.86
82 12.63 55.39 21.37 25.49 11.05
83 12.84 52.48 22.95 26.66 10.77
84 12.78 62.98 20.78 18.48 10.40
85 13.45 27.64 16.79 15.93 8.09
86 12.87 35.74 20.19 23.66 8.63
87 13.20 49.65 23.90 30.12 10.88
88 13.35 66.74 18.44 16.29 10.10
89 13.27 42.53 22.71 26.75 11.49
90 13.30 45.83 21.78 29.89 11.04
91 13.13 58.00 24.19 23.90 12.13
92 13.23 61.01 20.46 20.45 11.68
93 13.29 44.42 21.42 28.17 11.46
94 13.29 30.59 18.53 17.00 10.20
95 13.70 39.05 22.77 26.75 10.96
96 13.76 55.34 24.64 26.36 16.15
97 13.81 31.70 20.55 19.74 9.19
98 13.71 34.61 20.39 23.11 10.22
99 14.10 47.35 22.41 28.02 13.24
100 14.09 41.05 22.38 25.74 12.81
101 13.91 25.50 16.78 13.20 8.98
102 14.15 52.65 23.37 26.15 15.55
103 13.98 62.57 21.11 19.92 14.69
104 14.29 33.62 21.77 20.93 9.68
105 14.40 60.45 21.72 24.40 17.28
106 14.08 65.75 22.75 14.25 12.88
107 14.72 44.39 22.61 26.94 14.73
108 14.36 49.93 25.95 27.28 16.28
109 14.83 65.73 20.80 17.24 15.75
110 14.93 29.73 19.69 18.24 12.17
111 14.88 31.85 22.14 20.81 14.11
112 14.81 42.09 22.12 26.29 13.21
113 15.12 39.24 22.23 25.46 13.72
114 14.99 26.86 18.49 15.30 11.34
115 14.91 50.90 24.92 27.48 14.44
116 15.09 55.85 23.67 24.33 22.98
117 15.03 28.41 18.87 15.87 13.13
118 15.31 69.00 18.87 13.58 16.62
119 15.32 58.12 23.23 23.39 29.33
120 15.59 33.98 21.05 23.00 17.77
121 15.41 48.69 23.44 27.92 22.91
122 15.38 53.63 23.15 25.05 28.63
123 15.38 46.20 24.68 27.18 19.46
124 15.57 61.69 22.59 20.63 26.16
125 15.67 42.97 24.24 25.76 21.20
126 15.97 51.22 25.45 26.24 35.26
127 15.93 66.79 19.17 15.88 23.46
128 16.02 35.78 22.58 23.17 14.15
129 15.94 64.06 21.80 18.61 25.37
130 16.07 26.23 17.35 14.87 17.87
131 16.24 28.80 19.74 17.43 19.12
132 16.22 40.10 22.26 24.32 19.17
133 16.42 23.87 14.34 11.96 23.04
134 16.40 59.85 25.66 22.83 41.21
135 16.43 71.41 18.29 13.36 17.91
136 16.37 56.20 24.65 25.22 45.48
137 16.51 44.71 26.18 24.20 30.30
138 16.79 46.84 24.74 24.68 36.32
139 16.54 38.04 20.46 24.61 27.17
140 16.75 53.44 26.02 24.04 52.01
141 16.76 68.79 18.78 14.61 23.68
142 16.54 34.19 25.73 19.64 20.82
143 16.89 49.54 24.42 26.09 51.82
144 17.17 62.40 25.89 20.49 45.92
145 17.29 65.33 23.18 18.48 36.53
146 17.18 41.44 24.79 24.79 37.44
147 17.49 36.63 23.02 22.96 36.58
148 17.49 30.43 19.04 18.90 30.68
149 17.44 58.15 25.69 22.65 70.36
150 17.38 34.31 20.78 20.66 32.99
151 17.42 26.63 18.54 14.69 34.22
152 17.73 51.74 26.41 24.61 74.29
153 17.74 43.94 23.25 24.88 57.18
154 17.81 55.49 25.40 23.48 78.54
155 17.60 39.29 25.12 21.86 41.55
156 17.96 24.29 15.81 14.41 45.03
157 18.00 70.39 20.55 14.39 27.76
158 18.00 47.98 25.49 26.01 72.27
159 18.08 32.87 21.92 20.92 41.48
160 18.15 60.51 25.04 21.98 69.65
161 18.10 72.85 19.01 13.26 19.86
162 18.19 22.10 14.08 11.27 45.41
163 18.15 67.81 20.71 16.61 33.98
164 18.43 28.99 19.45 17.33 50.82
165 18.51 41.65 25.11 24.35 65.59
