#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim4 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.79 45.18 20.82 6.08 9.33
1 3.73 50.37 21.97 6.81 9.89
2 3.54 47.71 24.47 6.12 10.83
3 3.96 42.99 24.70 7.89 10.17
4 4.39 45.70 25.11 8.90 9.85
5 4.67 40.47 23.15 7.83 11.35
6 4.51 54.39 23.72 6.41 11.46
7 5.32 37.90 21.36 6.41 9.74
8 5.44 50.76 26.40 8.34 11.69
9 5.44 47.94 27.67 8.93 11.85
10 5.46 43.31 26.00 9.62 12.26
11 5.45 56.36 23.63 5.88 12.30
12 5.87 53.26 28.20 8.31 12.70
13 6.02 35.60 22.28 6.73 10.33
14 6.30 40.46 29.33 9.09 13.21
15 6.57 45.87 29.77 9.79 13.29
16 7.00 33.26 21.42 6.90 8.75
17 7.02 43.02 29.29 9.35 13.32
18 7.14 48.69 30.76 8.94 14.74
19 6.92 55.76 28.86 8.33 15.43
20 6.83 52.11 29.43 7.97 15.00
21 7.47 38.58 26.02 8.95 12.86
22 7.87 58.14 28.11 7.74 16.65
23 7.59 51.38 30.82 9.85 14.38
24 8.18 60.79 28.01 7.26 17.38
25 8.11 54.52 30.14 9.74 17.33
26 8.14 45.67 31.08 9.24 16.86
27 8.37 33.26 24.69 6.43 12.45
28 8.76 48.94 32.59 10.19 18.50
29 9.02 39.93 30.28 8.98 16.37
30 9.04 52.08 33.14 10.46 20.42
31 9.12 36.79 26.86 7.75 17.23
32 9.25 43.63 34.77 9.75 16.49
33 9.24 31.31 22.96 5.19 15.60
34 9.52 58.07 33.61 9.69 23.22
35 9.56 54.79 35.47 10.95 23.33
36 9.80 46.49 36.84 9.73 22.12
37 9.74 61.13 30.84 7.71 26.66
38 9.80 34.35 26.49 6.64 17.20
39 10.04 67.02 25.30 5.14 29.06
40 9.92 50.37 36.79 10.43 28.40
41 10.37 38.89 32.97 9.47 24.19
42 10.36 41.84 35.25 10.21 22.97
43 10.47 63.92 31.75 7.08 31.00
44 10.59 29.34 19.94 4.11 19.51
45 10.83 48.55 39.22 11.41 31.73
46 11.00 56.02 41.12 10.84 33.34
47 10.56 51.16 35.67 11.58 21.75
48 10.90 53.15 38.97 11.76 33.22
49 10.89 33.00 27.81 6.77 21.47
50 11.02 44.39 37.84 10.57 34.30
51 11.14 59.23 37.84 10.54 34.76
52 11.18 36.67 29.49 7.89 26.92
53 11.69 62.40 38.28 9.01 44.21
54 11.54 40.44 36.23 8.73 31.16
55 11.68 46.57 45.33 12.02 46.20
56 11.80 65.90 33.86 7.55 45.44
57 12.00 26.73 21.12 3.98 25.97
58 11.84 51.11 42.57 12.48 49.90
59 12.03 32.12 26.71 6.20 30.12
60 12.32 29.35 25.75 5.27 30.91
61 12.24 42.94 42.31 10.99 50.56
62 12.41 53.76 45.31 12.94 59.71
63 12.25 35.14 31.22 7.15 40.15
64 12.48 48.75 43.25 12.59 64.69
65 12.41 57.33 40.30 11.85 49.18
66 12.75 70.48 30.80 6.25 49.69
67 12.70 39.99 36.38 10.02 57.38
68 12.79 60.59 44.63 11.54 52.65
69 13.00 37.48 33.74 9.55 60.08
70 12.91 45.58 40.60 11.20 75.16
71 13.17 67.25 34.91 8.22 55.55
72 13.26 63.99 38.61 9.71 59.35
73 13.44 50.86 45.86 12.20 90.67
74 13.46 31.52 29.01 6.12 59.50
75 13.47 55.55 45.61 13.73 70.80
76 13.62 25.60 19.55 3.62 47.03
77 13.60 34.54 30.96 7.69 76.80
78 13.63 42.53 38.86 10.66 89.31
79 13.81 28.52 24.22 5.33 59.56
80 13.95 58.53 44.94 13.31 73.29
81 13.97 47.99 47.74 13.90 109.55
82 14.17 53.13 46.85 13.52 96.28
83 14.21 39.92 39.76 9.82 109.73
84 14.25 61.59 47.11 11.87 73.05
85 14.23 45.03 43.11 12.70 117.98
86 14.29 70.49 33.56 7.74 62.20
87 14.38 37.03 35.01 8.49 115.00
88 14.58 73.80 30.12 6.00 60.32
89 14.91 67.50 41.70 9.42 79.10
90 14.90 21.19 16.88 2.52 73.88
91 14.77 55.91 48.26 14.28 104.49
92 14.87 64.36 44.67 11.25 74.71
93 14.79 32.66 31.39 7.20 122.25
94 14.93 24.37 20.19 3.20 84.97
95 14.98 50.61 48.96 13.65 139.06
96 15.11 42.52 41.68 12.33 146.47
97 15.13 28.70 26.55 5.43 111.91
98 15.31 46.12 51.15 14.99 154.17
99 15.38 59.83 49.41 13.21 93.24
100 15.54 35.54 37.39 8.70 159.38
101 15.54 38.55 41.32 10.40 159.68
102 15.74 53.56 50.14 15.06 145.59
103 15.74 75.90 28.24 5.13 53.47
104 15.74 71.48 38.51 8.05 66.74
105 15.92 48.62 56.72 17.54 167.71
106 16.04 19.08 12.71 2.34 102.76
107 15.97 26.21 25.62 4.89 137.67
108 16.01 31.15 30.50 7.88 154.52
109 15.94 56.95 54.84 16.14 124.55
110 16.19 62.29 48.88 12.94 96.16
111 16.32 68.23 44.29 11.74 86.52
112 16.38 40.51 42.84 12.08 184.70
113 16.55 65.00 48.50 13.01 95.07
114 16.34 43.49 47.92 13.92 189.68
115 16.47 33.92 36.24 8.75 179.69
116 16.53 22.78 20.32 3.68 143.26
117 16.52 51.07 55.16 16.41 167.38
118 16.62 46.30 50.48 14.29 189.90
119 16.84 28.76 29.86 6.50 185.39
120 16.75 59.19 54.96 16.11 122.34
121 16.89 37.53 40.56 11.13 190.49
122 17.00 55.51 59.30 16.78 149.75
123 17.09 71.50 41.99 9.64 79.68
124 17.12 74.63 37.10 8.01 73.06
125 17.47 53.33 59.34 17.75 169.25
126 17.52 25.80 29.14 5.62 177.90
127 17.62 31.69 34.20 7.68 194.67
128 17.53 42.00 43.86 12.88 201.26
129 17.58 48.18 53.58 15.46 197.25
130 17.66 61.14 57.52 14.69 125.41
131 17.65 19.48 15.61 2.64 140.88
132 17.66 34.82 37.06 8.79 207.72
133 17.64 44.85 53.12 14.69 209.62
134 17.88 68.93 51.43 11.15 96.36
135 17.88 66.21 51.86 14.24 106.16
136 17.86 50.87 59.32 16.84 176.73
137 18.02 39.71 42.86 12.80 206.67
138 17.93 57.91 60.39 16.18 147.10
139 18.10 79.86 24.98 4.30 51.15
140 18.12 22.75 22.49 4.50 172.03
141 18.21 63.42 60.43 15.46 122.70
142 18.31 37.01 44.06 11.22 209.52
143 18.26 76.05 39.22 7.79 74.07
144 18.27 28.79 28.81 6.88 198.72
145 18.51 72.22 49.56 10.89 97.67
146 18.64 16.54 12.46 2.14 123.03
147 18.55 55.17 61.11 17.89 171.31
148 18.85 43.40 53.32 14.87 211.66
149 18.79 46.20 59.81 16.75 210.21
150 18.82 49.20 58.66 15.17 187.00
151 18.96 25.99 28.57 5.87 193.71
152 18.87 34.00 36.60 8.40 210.37
153 18.97 52.77 59.97 17.09 175.86
154 19.13 20.05 16.65 3.20 155.29
155 19.12 60.53 63.54 17.42 144.00
156 19.19 31.13 32.88 8.88 208.66
157 19.14 57.68 65.02 18.28 165.88
158 19.28 65.98 58.83 13.69 118.72
159 19.32 41.19 53.26 13.55 215.47
160 19.35 38.72 45.59 11.72 215.12
161 19.40 68.98 55.45 13.20 109.12
162 19.53 78.78 36.85 6.73 81.54
163 19.66 23.28 24.18 4.54 188.08
164 19.71 63.19 63.77 16.48 138.51
165 19.56 75.44 49.30 9.55 98.50
