#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
139 13.56 68.01 2.92 3.52 23.17
140 13.57 42.37 7.14 4.58 26.37
141 13.72 50.50 6.67 3.83 27.56
142 13.65 40.90 7.74 4.62 26.35
143 13.67 55.42 6.92 5.46 23.95
144 14.00 66.60 3.33 3.22 25.33
145 13.92 61.56 4.76 3.69 27.86
146 14.24 43.37 6.81 4.72 27.66
147 13.82 36.60 6.83 5.17 26.83
148 14.38 57.27 6.22 4.61 24.39
149 14.07 38.19 5.35 4.04 24.87
150 13.96 39.75 8.36 5.18 26.55
151 14.05 53.15 7.00 3.75 24.02
152 14.52 31.39 4.48 3.45 22.27
153 13.99 35.59 4.80 3.30 23.30
154 14.34 46.95 6.13 4.11 26.56
155 14.10 69.64 2.67 3.67 27.83
156 14.52 64.65 4.30 4.00 27.78
157 14.51 68.92 3.10 3.85 25.88
158 14.35 70.44 3.45 3.55 19.00
159 14.68 28.12 3.90 3.51 21.44
160 14.58 36.73 5.61 4.33 24.75
161 14.62 39.22 6.39 3.94 26.19
162 14.69 29.56 3.88 3.18 21.67
163 14.58 34.78 6.58 5.35 24.52
164 14.73 49.88 4.90 5.07 25.13
165 14.91 48.04 7.06 4.82 24.88
166 14.89 60.34 5.68 5.03 28.78
167 14.61 67.23 3.55 5.20 25.90
168 14.88 53.03 6.40 5.50 27.07
169 14.65 38.19 5.29 3.29 30.86
170 15.09 33.79 5.02 4.32 23.37
171 15.04 40.81 5.59 4.28 26.28
172 15.05 51.43 5.33 4.22 27.24
173 14.88 43.85 8.54 4.23 29.15
174 15.13 45.60 6.75 4.33 26.11
175 15.04 54.67 5.00 4.80 29.41
176 15.09 26.43 4.07 3.02 22.86
177 15.31 67.99 3.38 4.25 24.52
178 15.07 50.51 5.44 4.33 26.56
179 15.03 71.34 2.50 3.50 21.50
180 15.19 35.64 5.60 4.95 24.85
181 15.59 66.15 3.73 4.11 25.01
182 15.36 70.03 3.48 4.05 22.31
183 15.22 36.81 5.12 3.38 29.62
184 15.23 38.38 5.20 5.30 28.40
185 15.29 57.59 4.74 5.17 25.17
186 15.61 29.09 4.02 3.11 21.65
187 15.48 44.21 5.52 4.40 29.69
188 15.57 52.27 4.90 4.42 24.95
189 15.81 49.74 5.24 4.76 24.59
190 15.65 55.58 5.03 4.57 26.80
191 15.63 27.48 3.88 3.50 19.42
192 15.66 39.66 5.71 4.68 23.78
193 15.80 72.42 3.34 3.80 20.80
194 15.88 35.41 5.27 4.43 24.50
195 15.93 46.63 5.63 4.57 25.31
196 15.77 37.33 5.55 4.41 25.14
197 16.15 41.91 6.02 4.45 25.53
198 16.04 48.03 6.60 4.93 28.40
199 15.98 57.09 4.44 5.08 28.67
200 16.00 70.62 3.35 3.69 24.42
201 16.32 69.17 3.57 3.81 24.05
202 16.52 25.47 3.62 3.22 20.07
203 16.06 38.95 6.00 4.17 29.83
204 16.43 43.83 5.44 4.82 29.96
205 16.62 34.60 4.64 4.67 25.31
206 16.46 27.25 3.73 3.86 20.37
207 16.51 29.85 3.51 4.03 23.62
208 16.34 71.53 1.93 3.57 18.64
209 16.64 47.09 4.06 5.09 26.44
210 16.71 62.67 4.23 4.16 28.25
211 16.68 72.61 2.77 3.07 19.75
212 16.69 58.20 5.36 4.55 28.79
213 16.72 65.74 3.43 4.54 27.03
214 16.86 36.99 5.36 4.37 26.05
215 16.99 55.68 4.22 5.04 26.98
216 17.01 45.90 5.50 4.85 31.04
217 17.20 60.60 4.51 4.43 29.41
218 17.17 41.83 4.21 3.91 28.60
219 17.20 27.88 3.93 4.11 21.28
220 17.26 67.19 3.96 4.16 27.32
221 17.32 54.19 4.48 5.63 28.72
222 17.41 73.76 3.32 4.60 23.19
223 17.16 47.47 5.33 6.17 26.33
224 17.60 23.78 3.44 4.37 18.41
225 17.58 33.73 3.91 4.85 24.45
226 17.62 25.24 3.79 4.15 20.47
227 17.78 36.02 4.69 4.76 26.21
228 17.59 51.79 4.45 5.04 28.72
229 17.52 30.17 3.22 2.67 23.44
230 17.72 46.60 4.15 4.89 30.77
231 17.97 26.94 3.81 5.00 22.60
232 17.64 32.24 3.50 4.62 26.12
233 17.88 39.13 4.21 4.34 27.58
234 17.99 29.35 4.10 4.37 24.28
235 17.90 41.15 4.60 4.79 27.25
236 17.98 61.51 4.63 5.12 26.09
237 17.96 71.16 2.84 4.02 25.48
238 17.94 65.35 4.71 4.71 29.12
239 18.23 51.15 4.70 5.67 28.86
240 18.11 48.97 4.84 5.60 27.76
241 18.26 67.00 3.94 4.99 26.24
242 18.25 33.44 3.54 4.77 26.08
243 18.52 31.76 4.25 5.32 26.73
244 18.62 23.43 3.34 3.94 19.10
245 18.37 38.02 5.55 4.18 28.91
246 18.75 25.92 3.51 4.25 21.48
247 18.47 28.23 3.44 3.11 24.33
248 18.92 34.01 4.21 4.04 27.37
249 18.93 52.61 4.45 5.31 29.69
250 18.75 38.73 4.59 5.33 28.81
251 18.84 65.32 3.55 5.57 25.80
252 18.65 71.37 4.71 5.29 25.43
253 18.76 45.07 4.62 6.23 29.31
254 18.81 68.31 3.00 3.50 27.00
255 19.01 72.40 3.45 4.65 24.37
256 18.91 27.49 3.77 5.07 20.13
257 19.00 43.22 4.25 4.70 29.09
258 18.80 62.61 3.20 6.10 26.40
259 18.96 37.47 4.95 5.74 27.89
260 18.98 63.69 4.68 4.68 30.39
261 19.17 40.32 4.77 4.79 26.59
262 19.11 56.12 4.60 6.67 28.38
263 19.10 61.19 4.59 4.94 29.16
264 18.93 60.23 3.57 4.14 31.14
265 19.50 57.66 4.10 5.61 29.75
266 19.03 28.51 4.14 3.71 21.71
267 19.31 42.05 4.79 5.00 29.06
268 19.31 76.06 2.39 4.34 22.77
269 19.39 44.79 4.04 5.36 27.67
270 19.59 50.58 4.60 5.70 29.45
271 19.38 70.21 3.40 5.15 29.72
272 19.20 22.74 3.75 4.50 19.50
273 19.42 59.26 4.58 4.84 28.89
274 19.76 23.80 2.70 3.64 21.11
275 19.76 68.02 4.66 6.35 28.74
276 19.72 28.89 3.62 4.22 27.50
277 19.50 36.79 4.91 5.65 29.04
278 19.81 65.30 4.10 5.94 29.17
279 19.57 66.63 3.93 5.17 26.47
280 19.85 61.99 4.39 5.30 28.26
281 19.89 48.89 4.27 4.78 26.90
282 19.74 74.74 3.62 4.46 23.77
283 20.04 26.30 3.24 4.34 24.26
284 20.07 37.75 4.58 5.92 29.32
285 19.76 42.97 5.00 6.15 27.22
286 19.78 46.30 4.19 5.19 32.67
287 20.10 63.66 4.70 5.40 28.13
288 20.35 71.85 3.28 5.54 26.29
289 20.39 46.96 4.27 5.77 31.16
290 20.17 60.03 4.16 5.00 29.73
291 20.17 69.58 3.49 5.30 26.42
292 20.09 73.34 3.91 5.56 24.97
293 20.35 33.17 3.88 5.40 24.85
294 20.48 55.86 4.62 6.43 30.56
295 20.30 76.25 3.27 6.32 23.27
296 20.70 41.48 4.68 5.93 30.13
297 20.26 58.50 3.14 9.57 30.71
298 20.46 27.68 4.20 5.20 20.37
299 20.61 65.87 4.12 6.18 28.18
300 20.60 22.47 2.91 4.51 19.45
301 20.73 67.44 4.80 6.43 26.91
302 20.59 59.10 3.55 6.40 27.15
303 21.19 23.98 3.16 4.19 20.12
304 20.92 48.79 4.09 6.13 30.24
305 21.03 53.83 4.52 6.32 30.44
306 20.86 31.61 3.69 5.38 30.36
307 21.14 62.53 5.24 5.88 30.26
308 21.23 75.96 3.49 6.28 23.44
309 20.94 70.02 4.36 7.52 25.63
310 21.24 50.42 4.47 6.38 30.66
311 21.16 20.55 3.00 3.67 18.43
312 21.30 65.24 4.11 5.96 30.29
313 21.24 28.72 3.43 5.26 22.28
314 21.27 60.62 3.96 5.75 28.40
315 21.49 42.87 4.43 6.18 30.00
316 21.52 21.96 3.39 4.55 20.77
317 21.23 66.93 2.83 6.17 28.83
318 21.57 36.90 4.52 4.81 29.15
319 21.53 57.82 4.79 6.97 29.56
320 21.42 30.71 3.27 5.20 26.20
